# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 1.787999999999999867e-01 1.900000000000000022e-01 2.861200000000000000e+08 5.000000000000000278e-02 2.000000000000000111e-01 5.903710661963167787e+07 7.592326331547059937e+00
2.000000000000000000e+00 7.328000000000000069e-01 9.200000000000000400e-01 1.609000000000000000e+08 5.000000000000000278e-02 3.500000000000000333e-01 2.434045493460234642e+09 1.287051127040304799e+01
3.000000000000000000e+00 8.060000000000000497e-01 8.699999999999999956e-01 7.187000320000000000e+08 1.000000000000000000e+00 3.750000000000000000e-01 1.272508945916199684e+09 1.272961459693890518e+01
4.000000000000000000e+00 6.700000000000000400e-01 5.400000000000000355e-01 2.272700000000000000e+08 5.000000000000000278e-02 5.750000000000000666e-01 5.547261450978953838e+08 1.898083710033078830e+01
5.000000000000000000e+00 6.198000000000000176e-01 5.500000000000000444e-01 2.272700000000000000e+08 5.000000000000000278e-02 1.225000000000000089e+00 2.890131001888354874e+10 1.494278684753856723e+00
6.000000000000000000e+00 6.844000000000000083e-01 2.390000000000000124e+00 1.000000000000000000e+07 1.000000000000000000e+01 8.000000000000000444e-01 1.320184057242751953e+12 5.140370689771307156e+01
7.000000000000000000e+00 1.088999999999999968e+00 9.699999999999999734e-01 1.015200000000000000e+09 1.000000000000000000e+00 5.000000000000000000e-01 5.661130688434066772e+09 3.465116851798590858e+01
8.000000000000000000e+00 4.761999999999999567e+00 4.990000000000000213e+00 1.278099970000000000e+09 1.000000000000000000e+01 1.425000000000000044e+00 5.640487234814066162e+11 5.189615407449913675e+01
9.000000000000000000e+00 6.163999999999999480e-01 5.999999999999999778e-01 2.025600000000000000e+08 5.000000000000000278e-02 8.750000000000000000e-01 1.359542574403116226e+10 1.889223170004223462e+00
1.000000000000000000e+01 2.100999999999999979e+00 2.450000000000000178e+00 2.025600000000000000e+08 5.000000000000000278e-02 7.000000000000000666e-01 1.206401875324715424e+10 3.474121156711434821e+01
1.100000000000000000e+01 1.089299999999999935e+00 9.400000000000000577e-01 4.249999870000000000e+09 1.000000000000000000e+01 6.250000000000000000e-01 5.294353593460852051e+10 2.384753889656143144e+01
1.200000000000000000e+01 1.266999999999999904e+00 1.350000000000000089e+00 7.187000320000000000e+08 1.000000000000000000e+01 3.750000000000000000e-01 5.556598436152030945e+10 1.588930133437948378e+01
1.300000000000000000e+01 2.671100000000000030e+00 2.750000000000000000e+00 5.708800000000000000e+08 1.000000000000000000e+01 5.750000000000000666e-01 1.227592575673113098e+11 1.410101298617459697e+01
1.400000000000000000e+01 6.630000000000000338e-01 7.000000000000000666e-01 1.609000000000000000e+08 5.000000000000000278e-02 1.250000000000000000e-01 3.625195964175632000e+08 7.750760705000338646e+00
1.500000000000000000e+01 1.135999999999999899e+00 1.050000000000000044e+00 9.047900160000000000e+08 1.000000000000000000e+00 6.250000000000000000e-01 1.215312271715784645e+10 1.743896161199915795e+01
1.600000000000000000e+01 7.375000000000000444e-01 7.399999999999999911e-01 1.278000000000000000e+08 5.000000000000000278e-02 8.000000000000000444e-01 9.642055034683088064e+08 2.372851762078769688e+00
1.700000000000000000e+01 1.930600000000000094e+00 2.030000000000000249e+00 7.187000320000000000e+08 1.000000000000000000e+00 9.250000000000000444e-01 5.898574550612715149e+10 2.279220293590397617e+01
1.800000000000000000e+01 6.594999999999999751e-01 6.800000000000000488e-01 2.025600000000000000e+08 5.000000000000000278e-02 1.750000000000000167e-01 8.105233125064325333e+08 1.387229392357648905e+01
1.900000000000000000e+01 6.670000000000000373e-01 6.500000000000000222e-01 2.861200000000000000e+08 5.000000000000000278e-02 1.250000000000000000e+00 1.688157499220496178e+10 6.332893887384578591e+00
2.000000000000000000e+01 3.029999999999999916e-01 4.100000000000000311e-01 3.210300160000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 4.949109435858936310e+08 4.993924489359912400e+01
2.100000000000000000e+01 6.599000000000000421e-01 6.500000000000000222e-01 1.434000000000000000e+08 5.000000000000000278e-02 1.550000000000000044e+00 1.488484132973980331e+10 7.957754343952517573e+00
2.200000000000000000e+01 1.239999999999999991e-01 2.919999999999999929e+00 1.000000000000000000e+07 1.000000000000000000e+01 5.750000000000000666e-01 6.936050333599847412e+11 2.973858082670523828e+01
2.300000000000000000e+01 2.706599999999999895e+00 2.780000000000000249e+00 1.609000000000000000e+08 5.000000000000000278e-02 6.000000000000000888e-01 1.087363546431054688e+10 1.915091386584895616e+01
2.400000000000000000e+01 2.371000000000000052e-01 4.100000000000000311e-01 2.025600000000000000e+08 5.000000000000000278e-02 1.250000000000000000e-01 1.350289583957910299e+09 2.759416591836446830e+00
2.500000000000000000e+01 2.813999999999999835e-01 4.299999999999999933e-01 2.025600000000000000e+08 5.000000000000000278e-02 0.000000000000000000e+00 2.647091718280289173e+08 2.202982521374383751e+01
2.600000000000000000e+01 7.587000000000000410e-01 6.700000000000000400e-01 2.025600000000000000e+08 5.000000000000000278e-02 3.000000000000000444e-01 1.886323129887930632e+09 2.643734801943638146e+01
