# obj_no phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.700000000000000000e+01 1.040000000000000036e+00 1.139100030000000000e+09 5.000000000000000000e+07 9.995287145194909906e-01 5.500000000000000444e-01 1.191121207225521652e-19 4.114517724639285007e+03 1.804281120527241947e-02 4.338440092768990326e+10
1.800000000000000000e+01 3.200000000000000067e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.250000000000000000e-01 3.076735948058479789e-17 3.173296993554757137e+03 0.000000000000000000e+00 1.022498579887170047e+08
1.900000000000000000e+01 3.300000000000000155e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.750000000000000000e-01 1.772899376939002518e-17 2.062770028516014463e+03 0.000000000000000000e+00 6.377413939911353588e+07
2.000000000000000000e+01 2.580000000000000071e+00 2.000000000000000000e+09 5.000000000000000000e+07 9.870913234723223129e-01 0.000000000000000000e+00 1.114298999619045782e-19 5.224264010523908155e+02 2.789720647776712248e-01 5.069136643852626801e+10
2.100000000000000000e+01 1.060000000000000053e+00 1.700000000000000000e+09 2.511900000000000000e+07 9.860116708098051186e-01 6.750000000000000444e-01 3.384917283345741769e-18 6.087977034957571050e+03 7.094966947721610406e-01 7.714948731823173523e+10
2.200000000000000000e+01 7.500000000000000000e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 9.000000000000000222e-01 1.438819012340498163e-17 1.156385641207492881e+03 0.000000000000000000e+00 4.899535715983968377e+08
2.300000000000000000e+01 5.000000000000000000e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.900473768503111893e-01 8.000000000000000444e-01 2.136039647258105014e-19 1.108907173350779658e+03 7.698963436227804387e-03 2.308722462955833375e+08
2.400000000000000000e+01 1.260000000000000009e+00 1.139100030000000000e+09 5.000000000000000000e+07 9.941510680753888884e-01 4.000000000000000222e-01 4.732813909972720277e-19 1.631995065771482359e+03 1.279597449048227864e-01 2.466442571651872253e+10
2.500000000000000000e+01 4.400000000000000022e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.781743261443593074e-01 3.750000000000000000e-01 9.308858549536659650e-19 8.863050025078772478e+02 2.371043684068031149e-02 5.174308661138622463e+07
2.600000000000000000e+01 3.479999999999999982e+00 1.139100030000000000e+09 5.000000000000000000e+07 9.052871451949100479e-01 7.750000000000000222e-01 5.402381986663860707e-19 7.479736048845800269e+02 3.485073483434949715e+00 3.794003901845314026e+10
