# obj_no spec_z phot_z age_old age_new f_old_V old_modifier EBV norm chi
1.500000000000000000e+01 1.135999999999999899e+00 1.060000000000000053e+00 5.088000000000000000e+08 5.000000000000000000e+07 6.199999999999999956e-01 2.649359599743731976e+09 3.500000000000000333e-01 3.096137876295681046e+00 1.178996484876361883e+01
1.600000000000000000e+01 7.375000000000000444e-01 6.700000000000000400e-01 5.088000000000000000e+08 1.000000000000000000e+07 6.400000000000000133e-01 6.516012909219083786e+08 6.500000000000000222e-01 2.726114834751228067e+00 2.244769207597997696e+00
1.700000000000000000e+01 1.930600000000000094e+00 1.489999999999999991e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.199999999999999956e-01 6.105813621226208210e+08 1.100000000000000089e+00 4.288870372688248978e+01 1.789860814301037806e+01
1.800000000000000000e+01 6.594999999999999751e-01 6.099999999999999867e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.000000000000000444e-01 1.348046101955775976e+09 2.500000000000000139e-02 8.244801351281193513e-01 1.347761301118393007e+01
1.900000000000000000e+01 6.670000000000000373e-01 6.300000000000000044e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.200000000000000400e-01 1.207952203706490517e+10 7.500000000000000000e-01 2.073847254511055116e+00 1.137650418060348612e+00
2.000000000000000000e+01 3.029999999999999916e-01 4.000000000000000083e-02 1.434000000000000000e+09 1.000000000000000000e+07 9.400000000000000577e-01 6.102641187301533699e+09 0.000000000000000000e+00 1.649943180593137302e-03 4.804815278390319122e+01
2.100000000000000000e+01 6.599000000000000421e-01 5.700000000000000622e-01 5.088000000000000000e+08 2.511900000000000000e+07 6.800000000000000488e-01 1.010973933906055331e+09 1.350000000000000089e+00 2.140899766820829697e+01 4.459172671218361472e+00
2.200000000000000000e+01 1.239999999999999991e-01 2.899999999999999911e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 0.000000000000000000e+00 5.750000000000000666e-01 6.760914691242646768e+01 2.292159372912477977e+01
2.300000000000000000e+01 2.706599999999999895e+00 2.729999999999999982e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.000000000000000042e-02 2.643620679157401323e+08 1.200000000000000178e+00 4.055805797824599779e+01 3.096191636651681378e+01
2.400000000000000000e+01 2.371000000000000052e-01 3.800000000000000044e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.200000000000000622e-01 1.189745046015786648e+09 0.000000000000000000e+00 1.625552049551442391e+00 4.673429956549986386e+00
2.500000000000000000e+01 2.813999999999999835e-01 1.700000000000000122e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.200000000000000622e-01 9.815084671295900345e+08 0.000000000000000000e+00 6.622198008336267760e-02 2.757465522489359344e+01
2.600000000000000000e+01 7.587000000000000410e-01 6.099999999999999867e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.200000000000000622e-01 1.535274727227411747e+09 1.250000000000000000e-01 1.765280647321601615e+00 2.849142572185375144e+01
2.700000000000000000e+01 1.048999999999999932e+00 9.699999999999999734e-01 1.139100030000000000e+09 1.000000000000000000e+07 5.200000000000000178e-01 2.041141304766833544e+09 1.074999999999999956e+00 9.663818573659144207e+00 9.283292670517969469e+00
2.800000000000000000e+01 3.071499999999999897e+00 3.180000000000000160e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.000000000000000083e-02 7.521199103230373859e+08 1.200000000000000178e+00 4.513547582770084432e+01 4.213943358860284860e+01
2.900000000000000000e+01 2.146000000000000130e-01 2.399999999999999911e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.000000000000000666e-01 5.310957049077952504e+08 0.000000000000000000e+00 2.440543060547489818e-01 1.928200808625583562e+01
3.000000000000000000e+01 2.100999999999999979e+00 2.149999999999999911e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 2.922793056687784195e+08 1.125000000000000000e+00 4.786892881904226726e+01 1.147156792538559245e+01
3.100000000000000000e+01 6.749000000000000554e-01 5.999999999999999778e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 1.250000000000000000e+00 4.457629193407071686e+10 3.696733991029308442e+00
3.200000000000000000e+01 8.396000000000000130e-01 8.000000000000000444e-01 5.088000000000000000e+08 1.000000000000000000e+07 5.799999999999999600e-01 6.271088455138338804e+08 5.500000000000000444e-01 8.301124574383676347e+00 7.683376842287929165e+00
3.300000000000000000e+01 1.090000000000000080e+00 9.899999999999999911e-01 8.064000000000000000e+08 5.000000000000000000e+07 4.199999999999999845e-01 1.680162099381830692e+09 1.000000000000000000e+00 5.768382776244346921e+00 1.372992733739544491e+01
3.400000000000000000e+01 1.088700000000000001e+00 9.699999999999999734e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.600000000000000089e-01 3.956632008950657368e+09 1.150000000000000133e+00 2.786102777362252425e+01 1.023252546131164920e+01
3.500000000000000000e+01 2.611000000000000210e+00 2.819999999999999840e+00 5.088000000000000000e+08 5.000000000000000000e+07 5.999999999999999778e-02 8.683428516067814827e+08 9.750000000000000888e-01 2.901220233377469881e+01 2.564848895691624620e+01
3.600000000000000000e+01 2.098700000000000010e+00 2.160000000000000142e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.000000000000000083e-02 4.524682199273310900e+08 8.500000000000000888e-01 2.762315813134846465e+01 2.266033624182365713e+01
3.700000000000000000e+01 4.868000000000000105e-01 4.299999999999999933e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.199999999999999734e-01 1.421872280747608900e+09 1.074999999999999956e+00 1.609552004813351189e+01 3.142331329754724845e+00
3.800000000000000000e+01 1.135000000000000009e+00 1.050000000000000044e+00 5.088000000000000000e+08 1.000000000000000000e+07 5.000000000000000000e-01 9.172461103059475422e+08 6.750000000000000444e-01 3.673912113848004868e+00 1.028167531660729139e+01
3.900000000000000000e+01 1.277000000000000079e-01 1.300000000000000044e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.399999999999999689e-01 1.098373428295399666e+09 7.500000000000001110e-02 3.746950859591810512e-02 2.537943165432542258e+01
4.000000000000000000e+01 6.250000000000000000e-01 3.240000000000000213e+00 8.064000000000000000e+08 5.000000000000000000e+07 1.400000000000000133e-01 1.580937390396940994e+10 1.225000000000000089e+00 1.714011044632782443e+01 4.847642290023377143e+01
4.100000000000000000e+01 1.350999999999999979e+00 1.280000000000000027e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.999999999999999889e-01 7.407242938965504169e+08 3.750000000000000000e-01 3.876289065198682326e+00 1.229695547533038891e+01
4.200000000000000000e+01 2.416999999999999982e-01 1.700000000000000122e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.800000000000000044e-01 1.579989239769583702e+09 0.000000000000000000e+00 1.185484345934856125e-02 1.752103086590206971e+01
4.300000000000000000e+01 3.481000000000000205e-01 4.199999999999999845e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.199999999999999734e-01 1.410423453443963289e+09 5.000000000000000000e-01 1.435520988979881229e+00 1.166742641756287213e+01
4.400000000000000000e+01 1.427999999999999936e+00 1.370000000000000107e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.399999999999999911e-01 6.303172717358148098e+08 3.750000000000000000e-01 8.076573191467760537e+00 2.575386275389840662e+01
4.500000000000000000e+01 2.330000000000000127e-01 4.299999999999999933e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.599999999999999867e-01 1.691223758875429630e+09 0.000000000000000000e+00 3.698126441270973563e-01 2.911741797388432929e+01
4.600000000000000000e+01 2.165900000000000158e+00 2.689999999999999947e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.000000000000000042e-02 2.592771371785230935e+08 2.500000000000000000e-01 1.140681873631101340e+01 9.689965850676738768e+00
4.700000000000000000e+01 9.829999999999999849e-01 8.399999999999999689e-01 8.064000000000000000e+08 5.000000000000000000e+07 7.199999999999999734e-01 4.031951528373500824e+09 4.250000000000000444e-01 3.154959609129339260e+00 1.196523654686243177e+01
4.800000000000000000e+01 6.660000000000000364e-01 5.700000000000000622e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.600000000000000311e-01 1.201904130554526329e+09 6.500000000000000222e-01 7.744644063529572797e+00 6.958039176797644387e+00
4.900000000000000000e+01 6.596999999999999531e-01 5.100000000000000089e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.199999999999999734e-01 7.707723684682276249e+08 0.000000000000000000e+00 1.587211520255808583e+00 2.540108024605176240e+01
5.000000000000000000e+01 7.329999999999999849e-01 6.700000000000000400e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.600000000000000089e-01 1.160664799454649448e+09 2.750000000000000222e-01 3.815743149215021113e+00 3.976210706146807716e+00
5.100000000000000000e+01 1.469000000000000083e+00 1.530000000000000027e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.200000000000000011e-01 1.214989706379519701e+09 1.450000000000000178e+00 8.367494148298581536e+01 8.296321208530851976e+00
5.200000000000000000e+01 7.329999999999999849e-01 5.999999999999999778e-02 1.700000000000000000e+09 1.000000000000000000e+07 8.000000000000000444e-01 1.839098519178695202e+09 2.500000000000000139e-02 5.815290087949767130e-03 2.088198123963878317e+01
5.300000000000000000e+01 6.600000000000000311e-01 5.899999999999999689e-01 5.088000000000000000e+08 1.000000000000000000e+07 3.800000000000000044e-01 2.007022161221636534e+08 1.500000000000000000e+00 1.565426523393154241e+02 8.341074185949835851e+00
5.400000000000000000e+01 2.765000000000000235e-01 1.900000000000000022e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.399999999999999911e-01 6.223198216788804531e+08 0.000000000000000000e+00 2.873593656323756781e-02 5.636417474089699731e+00
5.500000000000000000e+01 1.461000000000000076e+00 1.360000000000000098e+00 8.064000000000000000e+08 5.000000000000000000e+07 2.999999999999999889e-01 2.397850681854340076e+09 5.750000000000000666e-01 6.523168031039119796e+00 1.324955421017451052e+01
5.600000000000000000e+01 7.324000000000000510e-01 6.800000000000000488e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.800000000000000266e-01 1.318484390242175341e+09 3.500000000000000333e-01 1.432978995780048725e+00 1.399894534274397806e+00
5.700000000000000000e+01 1.145999999999999908e+00 9.799999999999999822e-01 1.139100030000000000e+09 5.000000000000000000e+07 4.199999999999999845e-01 2.451740949886209965e+09 1.025000000000000133e+00 1.205641886628910342e+01 2.086338750605493431e+01
5.800000000000000000e+01 8.244000000000000217e-01 7.099999999999999645e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.600000000000000089e-01 1.232559558578376532e+09 0.000000000000000000e+00 9.967997120080782647e-01 1.637391068794889293e+01
5.900000000000000000e+01 1.036299999999999999e+00 9.899999999999999911e-01 5.088000000000000000e+08 1.000000000000000000e+07 5.400000000000000355e-01 8.865819947086970806e+08 6.750000000000000444e-01 1.611565561370935029e+01 6.884330952839684770e+00
6.000000000000000000e+01 2.542600000000000193e+00 2.149999999999999911e+00 8.064000000000000000e+08 1.000000000000000000e+07 2.000000000000000042e-02 3.970858170627010465e+08 1.125000000000000000e+00 3.764221356570348576e+01 2.325686156201892985e+01
6.100000000000000000e+01 6.626999999999999558e-01 2.410000000000000142e+00 5.088000000000000000e+08 1.000000000000000000e+07 0.000000000000000000e+00 0.000000000000000000e+00 9.250000000000000444e-01 1.318960401261688276e+02 3.370586935975727272e+01
6.200000000000000000e+01 1.237000000000000044e-01 1.199999999999999956e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.800000000000000044e-01 1.522708722861867666e+09 2.500000000000000139e-02 8.309784106106846147e-02 1.287895104363569843e+01
6.300000000000000000e+01 1.016999999999999904e+00 9.699999999999999734e-01 8.064000000000000000e+08 2.511900000000000000e+07 5.000000000000000000e-01 1.777280817836308479e+09 1.450000000000000178e+00 1.415796936553887342e+01 3.220353938787997361e+00
6.400000000000000000e+01 6.720000000000000417e-01 6.199999999999999956e-01 1.700000000000000000e+09 5.000000000000000000e+07 9.799999999999999822e-01 1.176294946362205505e+11 4.250000000000000444e-01 3.895280113814279521e-01 2.554910960940515618e+00
6.500000000000000000e+01 1.274000000000000132e-01 1.499999999999999944e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.599999999999999867e-01 1.304278838547066927e+09 1.500000000000000222e-01 1.623005724322334475e-01 1.888648224744722626e+01
6.600000000000000000e+01 4.441999999999999837e-01 4.100000000000000311e-01 8.064000000000000000e+08 5.000000000000000000e+07 8.599999999999999867e-01 4.886180706162690163e+09 5.000000000000000278e-02 9.494531872862517485e-02 1.802138259809671128e+00
6.700000000000000000e+01 2.703399999999999803e+00 2.790000000000000036e+00 5.088000000000000000e+08 5.000000000000000000e+07 4.000000000000000083e-02 5.572899688291190863e+08 7.250000000000000888e-01 2.553077792403949786e+01 1.799009635575200150e+01
6.800000000000000000e+01 6.611000000000000210e-01 5.700000000000000622e-01 1.139100030000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 6.750000000000000444e-01 6.296916575143718719e+10 2.056697296641462280e+00
6.900000000000000000e+01 9.509999999999999565e-01 8.399999999999999689e-01 8.064000000000000000e+08 5.000000000000000000e+07 7.600000000000000089e-01 4.965273641422923088e+09 1.750000000000000167e-01 1.987550781325417848e+00 6.672401117445653895e+00
7.000000000000000000e+01 4.182000000000000162e-01 4.299999999999999933e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.000000000000000444e-01 1.101261982523535967e+09 0.000000000000000000e+00 5.124565601812216542e-01 1.090240539015575649e+01
7.100000000000000000e+01 1.133999999999999897e+00 1.100000000000000089e+00 8.064000000000000000e+08 2.511900000000000000e+07 4.000000000000000222e-01 1.721970792502555609e+09 9.250000000000000444e-01 7.531138375130620233e+00 1.501813221003718191e+01
7.200000000000000000e+01 5.217000000000000526e-01 5.100000000000000089e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.399999999999999689e-01 3.092418591925951958e+09 3.250000000000000111e-01 4.090534137514891810e-01 1.880075564347397421e+00
7.300000000000000000e+01 1.352000000000000091e+00 1.219999999999999973e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.399999999999999911e-01 4.804030095427032709e+08 4.750000000000000333e-01 1.515043161260084048e+01 1.157403775624289466e+01
7.400000000000000000e+01 1.274000000000000132e-01 7.000000000000000666e-02 8.064000000000000000e+08 1.000000000000000000e+07 9.400000000000000577e-01 4.089030048686879635e+09 0.000000000000000000e+00 8.721459759385315896e-03 9.304313317385638271e+00
7.500000000000000000e+01 8.429999999999999716e-01 8.499999999999999778e-01 8.064000000000000000e+08 5.000000000000000000e+07 4.600000000000000200e-01 1.368753535674686193e+09 1.025000000000000133e+00 1.971129047996850758e+01 1.152933460308108238e+01
7.600000000000000000e+01 1.279000000000000137e-01 1.199999999999999956e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.000000000000000222e-01 2.477730623274912357e+09 3.500000000000000333e-01 1.399772768700345393e+00 2.454492975000049704e+00
7.700000000000000000e+01 1.032000000000000028e+00 9.599999999999999645e-01 5.088000000000000000e+08 2.511900000000000000e+07 4.799999999999999822e-01 9.057691026523554325e+08 4.000000000000000222e-01 2.250339181277826839e+00 5.580127708027834643e+00
7.800000000000000000e+01 1.304999999999999938e+00 1.199999999999999956e+00 5.088000000000000000e+08 1.000000000000000000e+07 3.599999999999999867e-01 8.108738636526448727e+08 3.750000000000000000e-01 3.863034100897348111e+00 1.282344296275397788e+01
7.900000000000000000e+01 2.660000000000000142e+00 1.469999999999999973e+00 8.064000000000000000e+08 1.000000000000000000e+07 2.000000000000000042e-02 8.694896408241130412e+07 7.750000000000000222e-01 6.379698961878250252e+00 2.002618440047249848e+01
8.000000000000000000e+01 1.346000000000000085e+00 1.340000000000000080e+00 1.139100030000000000e+09 5.000000000000000000e+07 8.800000000000000044e-01 5.741466068527561188e+10 8.250000000000000666e-01 1.296176785610592130e+00 4.134620918710970372e+00
8.100000000000000000e+01 1.034000000000000030e+00 9.400000000000000577e-01 5.088000000000000000e+08 1.000000000000000000e+07 4.799999999999999822e-01 6.048914487261402607e+08 8.750000000000000000e-01 1.713087017133977952e+01 1.308915530210896350e+01
8.200000000000000000e+01 5.248000000000000442e-01 5.400000000000000355e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.599999999999999867e-01 3.705959393729049206e+09 0.000000000000000000e+00 2.047416442960110772e-01 6.685313784839919116e+00
8.300000000000000000e+01 9.669999999999999707e-01 8.900000000000000133e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.399999999999999911e-01 2.876575692851368904e+09 7.500000000000001110e-02 4.635290123183461453e-01 7.254904873603904569e+00
8.400000000000000000e+01 6.816999999999999726e-01 8.999999999999999667e-02 1.700000000000000000e+09 1.000000000000000000e+07 8.000000000000000444e-01 1.923340518703990936e+09 5.250000000000000222e-01 1.117849441283944867e-01 1.214935621663967247e+01
8.500000000000000000e+01 3.664000000000000035e-01 4.000000000000000222e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.800000000000000266e-01 1.916795084388621807e+09 2.000000000000000111e-01 2.234677355149966349e+00 5.467536265293938769e+00
8.600000000000000000e+01 3.725999999999999868e-01 4.100000000000000311e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.000000000000000444e-01 2.177657092380797863e+09 2.250000000000000056e-01 1.677651734332275879e+00 6.398725667013243523e+00
8.700000000000000000e+01 1.088999999999999968e+00 1.000000000000000000e+00 8.064000000000000000e+08 5.000000000000000000e+07 5.999999999999999778e-01 3.577586390682620525e+09 5.250000000000000222e-01 1.613461658260098908e+00 1.407052118284470055e+01
8.800000000000000000e+01 2.125500000000000167e+00 2.089999999999999858e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 2.784022390074055195e+08 2.000000000000000111e-01 2.918161280816173786e+01 2.365596393869835623e+01
8.900000000000000000e+01 9.779999999999999805e-01 8.200000000000000622e-01 8.064000000000000000e+08 5.000000000000000000e+07 5.400000000000000355e-01 1.756343269305815697e+09 1.175000000000000044e+00 3.534237280595915109e+01 1.483312836561439418e+01
9.000000000000000000e+01 2.534199999999999786e+00 1.979999999999999982e+00 5.088000000000000000e+08 2.511900000000000000e+07 2.000000000000000042e-02 1.632521040429327488e+08 9.250000000000000444e-01 1.411097962003278283e+01 1.925464448283128149e+01
9.100000000000000000e+01 1.425000000000000044e+00 1.350000000000000089e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.799999999999999933e-01 4.247616377671619654e+08 4.000000000000000222e-01 6.503083978169075685e+00 3.063132523499079696e+01
9.200000000000000000e+01 1.262999999999999956e-01 1.199999999999999956e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.000000000000000222e-01 2.477730623274912357e+09 7.500000000000001110e-02 7.775234999085717247e-01 4.287651798068447206e+00
9.300000000000000000e+01 1.159699999999999953e+00 1.110000000000000098e+00 5.088000000000000000e+08 5.000000000000000000e+07 2.999999999999999889e-01 8.014067591489175558e+08 5.000000000000000000e-01 1.027506747086142447e+01 4.930382811658731157e+00
9.400000000000000000e+01 5.020000000000000018e-01 3.599999999999999867e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.000000000000000222e-01 3.294052236978735924e+09 0.000000000000000000e+00 7.680306458861781982e-01 2.752055030641327171e+00
9.500000000000000000e+01 3.799999999999999906e-02 2.000000000000000042e-02 1.139100030000000000e+09 5.000000000000000000e+07 8.599999999999999867e-01 3.799078210273690701e+09 7.750000000000000222e-01 6.827914188841718302e-01 2.422974873233032067e+00
9.600000000000000000e+01 5.227000000000000535e-01 4.299999999999999933e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 9.250000000000000444e-01 8.455390873633378029e+09 3.131455955499879096e+00
9.700000000000000000e+01 6.215000000000000524e-01 5.700000000000000622e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 8.000000000000000444e-01 3.035070690909076691e+10 3.878547220202480439e+00
9.800000000000000000e+01 2.523400000000000087e+00 2.729999999999999982e+00 5.088000000000000000e+08 1.000000000000000000e+07 4.000000000000000083e-02 3.606636942424097657e+08 5.500000000000000444e-01 1.878013174993415646e+01 1.374213259411460442e+01
9.900000000000000000e+01 9.080000000000000293e-01 8.300000000000000711e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.199999999999999734e-01 2.267325230046230316e+09 2.250000000000000056e-01 4.929403542993263665e-01 9.795872199504714217e+00
1.000000000000000000e+02 2.539099999999999913e+00 2.260000000000000231e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.000000000000000042e-02 1.562082580009338558e+08 7.750000000000000222e-01 3.348473462938365230e+01 1.456579020603650854e+01
1.010000000000000000e+02 1.389000000000000012e+00 1.320000000000000062e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.399999999999999911e-01 5.820369775100429058e+08 2.750000000000000222e-01 7.947042922158571443e+00 2.421803467249161734e+00
1.020000000000000000e+02 1.135999999999999899e+00 1.010000000000000009e+00 8.064000000000000000e+08 5.000000000000000000e+07 4.799999999999999822e-01 2.265091557083809853e+09 3.250000000000000111e-01 1.824352444799925310e+00 1.225707866398245116e+01
1.030000000000000000e+02 9.389999999999999458e-01 1.000000000000000021e-02 4.000000000000000000e+09 1.000000000000000000e+07 1.000000000000000000e+00 1.000000000000000000e+00 0.000000000000000000e+00 8.330888996710599400e+06 5.206839678964060170e+01
1.040000000000000000e+02 5.312000000000000055e-01 4.899999999999999911e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.000000000000000444e-01 2.319821767460768223e+09 6.000000000000000888e-01 4.669100030065834517e+00 8.574713610258016816e-01
1.050000000000000000e+02 1.243999999999999967e-01 5.999999999999999778e-02 1.434000000000000000e+09 2.511900000000000000e+07 9.400000000000000577e-01 1.091259749809221077e+10 0.000000000000000000e+00 3.476179083025872450e-03 3.332378669917957836e+00
1.060000000000000000e+02 6.550000000000000266e-01 7.000000000000000666e-01 5.088000000000000000e+08 5.000000000000000000e+07 2.000000000000000111e-01 1.798623792144475877e+08 9.750000000000000888e-01 5.579382916386343538e+01 5.319287502410102064e+00
1.070000000000000000e+02 3.830000000000000071e-01 1.900000000000000022e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.000000000000000222e-01 2.655378360834611893e+09 1.475000000000000089e+00 1.616822387209162715e+00 1.324446383637088687e+01
1.080000000000000000e+02 1.340999999999999970e+00 1.250000000000000000e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.000000000000000111e-01 4.072839346151473522e+08 4.750000000000000333e-01 1.109893810231457678e+01 1.110090557560262603e+01
1.090000000000000000e+02 7.321999999999999620e-01 5.999999999999999778e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.000000000000000222e-01 5.744849741856292725e+09 7.500000000000000000e-01 5.273178180493989231e-01 2.578301011804065013e+00
1.100000000000000000e+02 6.874000000000000110e-01 5.799999999999999600e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.800000000000000488e-01 1.327992915433884621e+09 8.250000000000000666e-01 7.379247459197443959e+00 2.964384895811968068e+00
