# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
3.000000000000000000e+01 2.100999999999999979e+00 2.220000000000000195e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.798916064409035620e-02 9.250000000000000444e-01 2.044764776442410124e-16 4.034610444988432931e+01 3.316760810136550219e+01 2.045553559621503067e+10
3.100000000000000000e+01 6.749000000000000554e-01 6.099999999999999867e-01 8.064000000000000000e+08 2.511900000000000000e+07 9.736921945229898290e-01 9.750000000000000888e-01 4.841183610209480140e-17 2.468647798121962111e+00 6.014392341567355027e-01 4.951224251456468201e+10
3.200000000000000000e+01 8.396000000000000130e-01 8.100000000000000533e-01 5.088000000000000000e+08 1.000000000000000000e+07 2.514224249708160164e-01 6.250000000000000000e-01 3.652031038068679289e-16 6.790666797928971654e+00 9.960500606025490811e+00 5.137207371397285461e+09
3.300000000000000000e+01 1.090000000000000080e+00 9.899999999999999911e-01 8.064000000000000000e+08 5.000000000000000000e+07 2.514224249708160164e-01 1.050000000000000044e+00 2.443229568687266371e-16 1.270054258250826251e+01 5.976517852830212085e+00 9.694061776772687912e+09
3.400000000000000000e+01 1.088700000000000001e+00 9.799999999999999822e-01 5.088000000000000000e+08 5.000000000000000000e+07 5.734841677598339071e-01 1.125000000000000000e+00 1.098811323859105537e-15 8.898958628410909455e+00 2.630144451518401993e+01 1.083361555170890350e+11
3.500000000000000000e+01 2.611000000000000210e+00 2.959999999999999964e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.798916064409035620e-02 6.750000000000000444e-01 1.507075428436539277e-16 4.726154403524568437e+01 1.986799910604917585e+01 3.783552574734545898e+10
3.600000000000000000e+01 2.098700000000000010e+00 2.220000000000000195e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.798916064409035620e-02 7.000000000000000666e-01 1.873002969673286277e-16 3.435235763658251074e+01 2.087536937067025988e+01 1.947720837688268280e+10
3.700000000000000000e+01 4.868000000000000105e-01 4.299999999999999933e-01 5.088000000000000000e+08 5.000000000000000000e+07 5.313699076773616969e-01 1.074999999999999956e+00 2.805920719974329593e-15 3.674245986887123117e+00 1.468964488252911060e+01 2.229124112989474106e+10
3.800000000000000000e+01 1.135000000000000009e+00 1.050000000000000044e+00 5.088000000000000000e+08 1.000000000000000000e+07 3.181690290810633703e-01 6.250000000000000000e-01 7.805089663413876866e-17 1.068190282360238363e+01 3.168464600979114643e+00 3.279804570275072098e+09
3.900000000000000000e+01 1.277000000000000079e-01 1.199999999999999956e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.080048279597983552e-01 1.000000000000000056e-01 4.604929913447192864e-17 2.534445023587003476e+01 2.802367594200386516e-02 2.912683648040693253e+07
4.000000000000000000e+01 6.250000000000000000e-01 3.220000000000000195e+00 8.064000000000000000e+08 5.000000000000000000e+07 3.790426555198066483e-01 1.275000000000000133e+00 9.569663365571307332e-17 4.712114251839512491e+01 1.715898156519312678e+01 2.641502158162199097e+11
4.100000000000000000e+01 1.350999999999999979e+00 1.270000000000000018e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.782362288973291520e-01 4.250000000000000444e-01 7.831770071257876178e-17 1.218817561285973561e+01 4.118818130683926881e+00 2.745069297640093803e+09
4.200000000000000000e+01 2.416999999999999982e-01 1.799999999999999933e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.345771296661833816e-01 0.000000000000000000e+00 9.265522868697410362e-18 1.647631450707373446e+01 1.267215874011642929e-02 1.814542664237222448e+07
4.300000000000000000e+01 3.481000000000000205e-01 4.400000000000000022e-01 5.088000000000000000e+08 5.000000000000000000e+07 5.313699076773616969e-01 4.750000000000000333e-01 2.542141212852710958e-16 1.091469862251050671e+01 1.412181307878048964e+00 2.150619856576987743e+09
4.400000000000000000e+01 1.427999999999999936e+00 1.350000000000000089e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.782362288973291520e-01 3.250000000000000111e-01 1.173359446084401777e-16 2.506981271399071431e+01 6.832754869395404107e+00 4.955796050255226135e+09
4.500000000000000000e+01 2.330000000000000127e-01 4.100000000000000311e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.080048279597983552e-01 0.000000000000000000e+00 3.699383682688806118e-17 2.858428374939546757e+01 2.968921828363120241e-01 5.366796751759964824e+08
