# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 3.820000000000000062e-01 4.299999999999999933e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.599999999999999867e-01 1.000000000000000056e-01 1.250095556860196640e-19 1.698574757489294385e+01 4.394806694421984905e-01 8.179495816110967398e+08
2.000000000000000000e+00 7.359999999999999876e-01 6.900000000000000577e-01 5.088000000000000000e+08 2.550000000000000000e+08 5.600000000000000533e-01 1.000000000000000056e-01 2.485514535632063654e-19 5.947937542787424370e+00 8.680519675425264481e-01 1.460417407846477032e+09
3.000000000000000000e+00 7.099999999999999645e-01 7.199999999999999734e-01 5.088000000000000000e+08 2.550000000000000000e+08 8.399999999999999689e-01 3.500000000000000333e-01 3.763567883666005988e-19 8.149821408978853654e+00 4.155965218346071133e+00 2.553033957359267426e+10
4.000000000000000000e+00 3.830000000000000071e-01 4.299999999999999933e-01 5.088000000000000000e+08 1.015200000000000000e+08 8.000000000000000444e-01 4.250000000000000444e-01 1.802094756920288538e-18 9.930391428627247663e+00 9.328276522288353689e+00 3.006086313370896530e+10
5.000000000000000000e+00 3.579999999999999849e-01 4.199999999999999845e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.599999999999999867e-01 2.500000000000000139e-02 1.908359536602653082e-19 1.588253268422834275e+01 4.626473693267820209e-01 8.610662293788247108e+08
6.000000000000000000e+00 1.885000000000000009e+00 1.919999999999999929e+00 5.088000000000000000e+08 2.550000000000000000e+08 0.000000000000000000e+00 2.500000000000000000e-01 3.923412121361764270e-19 2.092938281614391727e+01 5.475449218123555539e+01 1.396239550621506691e+10
7.000000000000000000e+00 1.980000000000000093e-01 1.799999999999999933e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.200000000000000622e-01 1.500000000000000222e-01 9.960132383012652089e-19 1.143167044580545877e+01 4.817493196538328304e-01 6.661795218353651762e+08
8.000000000000000000e+00 1.032000000000000028e+00 9.200000000000000400e-01 5.088000000000000000e+08 2.550000000000000000e+08 5.200000000000000178e-01 2.250000000000000056e-01 3.140620525080902332e-19 5.979269544982646956e+00 4.228864963131939270e+00 6.216415172664909363e+09
9.000000000000000000e+00 6.340000000000000080e-01 5.100000000000000089e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 4.500000000000000111e-01 7.368363661199063811e-18 7.413140523339022536e+01 0.000000000000000000e+00 3.197444235301225313e+27
1.000000000000000000e+01 6.919999999999999485e-01 7.399999999999999911e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 4.000000000000000222e-01 1.473800053915560621e-18 1.819952239268031846e+01 0.000000000000000000e+00 6.584768869168182433e+27
1.100000000000000000e+01 1.990000000000000102e-01 1.799999999999999933e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.800000000000000044e-01 5.000000000000000278e-02 1.273400587975703706e-19 1.400337253457935560e+01 4.080279936426634696e-02 9.057921630312427878e+07
1.200000000000000000e+01 6.770000000000000462e-01 5.100000000000000089e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.200000000000000622e-01 5.750000000000000666e-01 4.466630800358894357e-19 1.711170943117449639e+01 9.019206494079677228e+00 2.464108908469010925e+10
