# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi SFR stellar_mass
1.000000000000000000e+00 3.820000000000000062e-01 4.299999999999999933e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.599999999999999867e-01 1.000000000000000056e-01 1.250095556860196640e-19 1.698574757489294385e+01 4.394806694421984905e-01 8.179495816110967398e+08
2.000000000000000000e+00 7.359999999999999876e-01 6.800000000000000488e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.399999999999999911e-01 7.500000000000001110e-02 1.478383735393863970e-19 8.156048524913114051e+00 8.511851058936550363e-01 1.468848590461327553e+09
3.000000000000000000e+00 7.099999999999999645e-01 7.199999999999999734e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.000000000000000222e-01 3.500000000000000333e-01 2.350237670372507997e-19 9.452604171771483266e+00 4.943900348695670743e+00 2.644345507750102615e+10
4.000000000000000000e+00 3.830000000000000071e-01 4.299999999999999933e-01 5.088000000000000000e+08 5.000000000000000000e+07 8.200000000000000622e-01 4.250000000000000444e-01 1.608306445817694093e-18 1.024479510054738718e+01 1.103324767063245737e+01 3.014352298289935684e+10
5.000000000000000000e+00 3.579999999999999849e-01 4.199999999999999845e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.599999999999999867e-01 2.500000000000000139e-02 1.908359536602653082e-19 1.588253268422834275e+01 4.626473693267820209e-01 8.610662293788247108e+08
6.000000000000000000e+00 1.885000000000000009e+00 1.750000000000000000e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.399999999999999911e-01 3.500000000000000333e-01 3.004841305834009645e-19 2.410210767914468377e+01 1.766991663388278084e+02 1.858248768364247131e+10
7.000000000000000000e+00 1.980000000000000093e-01 1.799999999999999933e-01 5.088000000000000000e+08 1.000000000000000000e+07 8.200000000000000622e-01 1.500000000000000222e-01 9.960132383012652089e-19 1.143167044580545877e+01 4.817493196538328304e-01 6.661795218353651762e+08
8.000000000000000000e+00 1.032000000000000028e+00 8.499999999999999778e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.800000000000000488e-01 2.250000000000000056e-01 2.111803454728960465e-19 7.838927387528058510e+00 4.293870677116983003e+00 5.586670606616973877e+09
9.000000000000000000e+00 6.340000000000000080e-01 5.100000000000000089e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 4.500000000000000111e-01 7.368363661199063811e-18 7.413140523339022536e+01 0.000000000000000000e+00 3.197444235301225313e+27
1.000000000000000000e+01 6.919999999999999485e-01 7.399999999999999911e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 4.000000000000000222e-01 1.473800053915560621e-18 1.819952239268031846e+01 0.000000000000000000e+00 6.584768869168182433e+27
