# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 3.820000000000000062e-01 4.299999999999999933e-01 3.602000000000000000e+08 8.999999999999999667e-02 1.250000000000000000e-01 6.024884487707718611e+08 2.597406728012673582e+01
2.000000000000000000e+00 7.359999999999999876e-01 7.399999999999999911e-01 1.805300000000000000e+08 5.000000000000000278e-02 1.500000000000000222e-01 1.143242756774037123e+09 4.506206829279371995e+00
3.000000000000000000e+00 7.099999999999999645e-01 7.399999999999999911e-01 2.550000000000000000e+08 5.000000000000000278e-02 4.500000000000000111e-01 2.227223822830450439e+10 1.188370298896515642e+01
4.000000000000000000e+00 3.830000000000000071e-01 4.400000000000000022e-01 3.602000000000000000e+08 8.999999999999999667e-02 4.500000000000000111e-01 2.485495241987364960e+10 1.746405239946905041e+01
5.000000000000000000e+00 3.579999999999999849e-01 4.299999999999999933e-01 3.602000000000000000e+08 8.999999999999999667e-02 5.000000000000000278e-02 6.700008084975252151e+08 2.389075410109824205e+01
6.000000000000000000e+00 1.885000000000000009e+00 1.810000000000000053e+00 9.047800000000000000e+07 2.999999999999999889e-02 2.000000000000000111e-01 9.798114026079166412e+09 1.509104395600712323e+01
7.000000000000000000e+00 1.980000000000000093e-01 2.000000000000000111e-01 3.602000000000000000e+08 8.999999999999999667e-02 1.500000000000000222e-01 6.016046804457286596e+08 2.089497409613375112e+01
8.000000000000000000e+00 1.032000000000000028e+00 9.899999999999999911e-01 1.805300000000000000e+08 5.000000000000000278e-02 2.500000000000000000e-01 4.732228613786692619e+09 7.740176393023871171e+00
9.000000000000000000e+00 6.340000000000000080e-01 6.400000000000000133e-01 1.434000000000000000e+09 8.999999999999999667e-02 1.250000000000000000e-01 7.864131841171853638e+10 5.401430554652578486e+00
1.000000000000000000e+01 6.919999999999999485e-01 7.399999999999999911e-01 7.187000320000000000e+08 8.999999999999999667e-02 3.750000000000000000e-01 2.558006264460735703e+10 1.441749117967801119e+01
1.100000000000000000e+01 1.990000000000000102e-01 1.799999999999999933e-01 3.602000000000000000e+08 8.999999999999999667e-02 1.000000000000000056e-01 6.986886859784793854e+07 2.210731702750486960e+01
1.200000000000000000e+01 6.770000000000000462e-01 6.600000000000000311e-01 1.805300000000000000e+08 2.999999999999999889e-02 6.000000000000000888e-01 3.080467925910763931e+10 1.437217543314532087e+01
1.300000000000000000e+01 2.278000000000000025e+00 2.260000000000000231e+00 1.805300000000000000e+08 5.000000000000000278e-02 2.500000000000000000e-01 2.941458074264006424e+10 1.196795750569263639e+01
1.400000000000000000e+01 1.211000000000000076e+00 1.090000000000000080e+00 1.278000000000000000e+08 2.999999999999999889e-02 7.500000000000001110e-02 2.324816109690279484e+09 5.256196539638901655e+00
1.500000000000000000e+01 1.191999999999999948e+00 1.150000000000000133e+00 2.550000000000000000e+08 8.999999999999999667e-02 1.500000000000000222e-01 3.912449811424204826e+09 1.188802680557771119e+01
1.600000000000000000e+01 4.620000000000000218e-01 5.000000000000000000e-01 2.550000000000000000e+08 8.999999999999999667e-02 3.750000000000000000e-01 1.964150759632843399e+10 1.708300400644315431e+01
1.700000000000000000e+01 1.153000000000000025e+00 1.060000000000000053e+00 1.805300000000000000e+08 8.999999999999999667e-02 4.750000000000000333e-01 2.613115842077056885e+10 1.783828832034370393e+01
1.800000000000000000e+01 6.949999999999999512e-01 7.000000000000000666e-01 2.550000000000000000e+08 5.000000000000000278e-02 5.500000000000000444e-01 4.957109691497347260e+10 1.315465345358008875e+01
1.900000000000000000e+01 8.970000000000000195e-01 8.599999999999999867e-01 1.805300000000000000e+08 5.000000000000000278e-02 4.500000000000000111e-01 1.919602081233387375e+10 1.993029893835948130e+01
2.000000000000000000e+01 1.205999999999999961e+00 1.159999999999999920e+00 2.550000000000000000e+08 8.999999999999999667e-02 1.000000000000000056e-01 3.112104744399045467e+09 8.906006231067179257e+00
2.100000000000000000e+01 2.724000000000000199e+00 2.510000000000000231e+00 6.405400000000000000e+07 2.999999999999999889e-02 1.500000000000000222e-01 2.973752769956245422e+10 1.745069426640725752e+01
2.200000000000000000e+01 1.245000000000000107e+00 1.140000000000000124e+00 2.550000000000000000e+08 8.999999999999999667e-02 1.750000000000000167e-01 4.384699714426651001e+09 5.960757742883465049e+00
2.300000000000000000e+01 2.489999999999999991e-01 2.200000000000000011e-01 1.278000000000000000e+08 2.999999999999999889e-02 2.000000000000000111e-01 2.454151687645259500e+08 1.636059929687985459e+01
2.400000000000000000e+01 4.570000000000000173e-01 4.600000000000000200e-01 3.602000000000000000e+08 8.999999999999999667e-02 1.250000000000000000e-01 4.734232980950084329e+08 2.258368898830660498e+01
2.500000000000000000e+01 1.881000000000000005e+00 1.790000000000000036e+00 9.047800000000000000e+07 2.999999999999999889e-02 1.250000000000000000e-01 3.862999822793092251e+09 1.366705488566632276e+01
2.600000000000000000e+01 9.889999999999999902e-01 9.799999999999999822e-01 2.550000000000000000e+08 8.999999999999999667e-02 1.750000000000000167e-01 4.013831778002493382e+09 1.772725940296694702e+01
2.700000000000000000e+01 1.413000000000000034e+00 1.400000000000000133e+00 1.805300000000000000e+08 5.000000000000000278e-02 2.500000000000000000e-01 1.744396103118601990e+10 2.023465472063681148e+01
2.800000000000000000e+01 1.459999999999999964e+00 1.380000000000000115e+00 2.550000000000000000e+08 8.999999999999999667e-02 2.000000000000000111e-01 1.383984278956019974e+10 5.388493236207549586e+01
2.900000000000000000e+01 6.939999999999999503e-01 7.299999999999999822e-01 1.805300000000000000e+08 2.999999999999999889e-02 4.000000000000000222e-01 9.941813857664257050e+09 1.063285793157401748e+01
3.000000000000000000e+01 1.685999999999999943e+00 1.780000000000000027e+00 1.278000000000000000e+08 2.999999999999999889e-02 2.000000000000000111e-01 8.515451007278017044e+09 1.517710510110673461e+01
3.100000000000000000e+01 6.959999999999999520e-01 7.099999999999999645e-01 1.805300000000000000e+08 8.999999999999999667e-02 2.250000000000000056e-01 6.136094199036018372e+09 5.861907037244874275e+00
3.200000000000000000e+01 1.155000000000000027e+00 1.070000000000000062e+00 2.550000000000000000e+08 8.999999999999999667e-02 2.000000000000000111e-01 7.870969778738166809e+09 1.703370514448882034e+01
3.300000000000000000e+01 2.738999999999999879e+00 2.740000000000000213e+00 1.278000000000000000e+08 2.999999999999999889e-02 1.000000000000000056e-01 1.498803855355508041e+10 1.528150618155867058e+01
3.400000000000000000e+01 2.503000000000000114e+00 2.450000000000000178e+00 1.805300000000000000e+08 8.999999999999999667e-02 1.750000000000000167e-01 2.009012724055819702e+10 9.230915173473979607e+00
3.500000000000000000e+01 2.490000000000000213e+00 2.439999999999999947e+00 1.805300000000000000e+08 8.999999999999999667e-02 2.000000000000000111e-01 2.379748935774520493e+10 6.664244142176229069e+00
3.600000000000000000e+01 1.032000000000000028e+00 9.799999999999999822e-01 1.805300000000000000e+08 5.000000000000000278e-02 4.000000000000000222e-01 8.905279559475996017e+09 1.696745113266133487e+01
3.700000000000000000e+01 1.048999999999999932e+00 9.899999999999999911e-01 1.805300000000000000e+08 8.999999999999999667e-02 5.000000000000000000e-01 1.030560738445033264e+10 2.202062454860307739e+01
3.800000000000000000e+01 3.573999999999999844e+00 3.530000000000000249e+00 1.805300000000000000e+08 5.000000000000000278e-02 2.500000000000000139e-02 2.443323845544377136e+10 1.452758976465958263e+01
3.900000000000000000e+01 3.088999999999999968e+00 3.010000000000000231e+00 6.405400000000000000e+07 8.999999999999999667e-02 2.750000000000000222e-01 2.683415058119956589e+10 1.294004807189878470e+01
