# obj_no spec_z phot_z age tau EBV norm chi
1.000000000000000000e+00 3.820000000000000062e-01 2.200000000000000011e-01 8.499999740000000000e+09 5.549999999999999822e+00 0.000000000000000000e+00 6.915408328521422148e+08 2.219533622348124169e+01
2.000000000000000000e+00 7.359999999999999876e-01 6.099999999999999867e-01 2.600000000000000000e+09 5.549999999999999822e+00 5.000000000000000278e-02 4.386845679846818924e+09 1.328018121164394572e+01
3.000000000000000000e+00 7.099999999999999645e-01 5.100000000000000089e-01 8.499999740000000000e+09 5.549999999999999822e+00 3.250000000000000111e-01 4.839550797558032227e+10 4.806980237878055817e+01
4.000000000000000000e+00 3.830000000000000071e-01 2.300000000000000100e-01 1.075000010000000000e+10 5.549999999999999822e+00 3.000000000000000444e-01 2.848388836527543640e+10 1.397478840508052578e+01
5.000000000000000000e+00 3.579999999999999849e-01 2.099999999999999922e-01 5.500000260000000000e+09 5.549999999999999822e+00 0.000000000000000000e+00 6.918288422470910549e+08 3.960620517912992966e+01
6.000000000000000000e+00 1.885000000000000009e+00 1.919999999999999929e+00 2.550000000000000000e+08 1.801000000000000156e+01 2.500000000000000000e-01 9.977590197825839844e+11 2.099121446653277445e+01
7.000000000000000000e+00 1.980000000000000093e-01 1.199999999999999956e-01 7.750000130000000000e+09 5.549999999999999822e+00 0.000000000000000000e+00 9.394404973618543148e+08 1.196918112258054379e+01
8.000000000000000000e+00 1.032000000000000028e+00 8.499999999999999778e-01 1.434000000000000000e+09 5.549999999999999822e+00 2.250000000000000056e-01 2.597130776199324036e+10 9.657874644564650168e+00
9.000000000000000000e+00 6.340000000000000080e-01 4.000000000000000083e-02 1.299999950000000000e+10 5.549999999999999822e+00 7.000000000000000666e-01 1.191995080749256611e+09 2.095111538855393292e+02
1.000000000000000000e+01 6.919999999999999485e-01 1.000000000000000021e-02 1.299999950000000000e+10 5.549999999999999822e+00 8.750000000000000000e-01 1.662966541675862111e+07 1.545234804041728012e+02
1.100000000000000000e+01 1.990000000000000102e-01 2.810000000000000053e+00 1.000000000000000000e+07 5.549999999999999822e+00 2.500000000000000000e-01 1.602769183472728271e+12 2.369990869029995295e+01
1.200000000000000000e+01 6.770000000000000462e-01 4.299999999999999933e-01 9.249999870000000000e+09 5.549999999999999822e+00 4.500000000000000111e-01 6.355793111663732147e+10 3.114825644441903307e+01
1.300000000000000000e+01 2.278000000000000025e+00 2.260000000000000231e+00 5.088000000000000000e+08 1.801000000000000156e+01 3.500000000000000333e-01 1.542851185342943359e+12 1.818807128301068232e+01
1.400000000000000000e+01 1.211000000000000076e+00 1.040000000000000036e+00 1.015200000000000000e+09 5.549999999999999822e+00 7.500000000000001110e-02 2.285291029559208679e+10 2.106513729545059732e+01
1.500000000000000000e+01 1.191999999999999948e+00 1.040000000000000036e+00 1.015200000000000000e+09 5.549999999999999822e+00 1.500000000000000222e-01 2.436790229310985947e+10 2.635176701518540909e+01
1.600000000000000000e+01 4.620000000000000218e-01 4.199999999999999845e-01 9.249999870000000000e+09 5.549999999999999822e+00 1.000000000000000056e-01 6.343753400839868164e+10 7.908070866695716461e+00
1.700000000000000000e+01 1.153000000000000025e+00 9.799999999999999822e-01 2.300000000000000000e+09 5.549999999999999822e+00 3.500000000000000333e-01 1.357530819317059631e+11 9.026131021424795620e+00
1.800000000000000000e+01 6.949999999999999512e-01 4.299999999999999933e-01 9.249999870000000000e+09 5.549999999999999822e+00 4.250000000000000444e-01 7.985776023848281860e+10 3.145031575893233722e+01
1.900000000000000000e+01 8.970000000000000195e-01 7.199999999999999734e-01 2.600000000000000000e+09 5.549999999999999822e+00 3.750000000000000000e-01 7.712931512326867676e+10 2.807533252845715310e+01
2.000000000000000000e+01 1.205999999999999961e+00 1.050000000000000044e+00 1.015200000000000000e+09 5.549999999999999822e+00 1.250000000000000000e-01 2.214711094615356445e+10 3.730469714276239301e+01
2.100000000000000000e+01 2.724000000000000199e+00 2.629999999999999893e+00 1.805300000000000000e+08 1.801000000000000156e+01 1.500000000000000222e-01 3.578117573961669434e+12 1.927034849151995743e+01
2.200000000000000000e+01 1.245000000000000107e+00 1.050000000000000044e+00 1.015200000000000000e+09 1.000000000000000000e+01 2.000000000000000111e-01 5.437425860063952637e+10 1.484458911116401225e+01
2.300000000000000000e+01 2.489999999999999991e-01 2.099999999999999922e-01 5.500000260000000000e+09 1.000000000000000000e+01 0.000000000000000000e+00 1.784522074858497381e+09 9.455294023923711322e+00
2.400000000000000000e+01 4.570000000000000173e-01 2.099999999999999922e-01 9.249999870000000000e+09 5.549999999999999822e+00 0.000000000000000000e+00 4.424045516921387315e+08 3.129173800906701430e+01
2.500000000000000000e+01 1.881000000000000005e+00 1.770000000000000018e+00 2.550000000000000000e+08 1.801000000000000156e+01 1.750000000000000167e-01 3.317525497720055542e+11 1.643135498205403877e+01
