# D_a D_b
8.645665468369722051e-01 9.328710091627345768e-01
8.659199372315087295e-01 9.337745867962120583e-01
8.672644574911744231e-01 9.346690825477531606e-01
8.686001113204422364e-01 9.355545408831964505e-01
8.699269030529201974e-01 9.364310067073365884e-01
8.712448376479358103e-01 9.372985253542749362e-01
8.725539206870414066e-01 9.381571425777622819e-01
8.738541583704430016e-01 9.390069045415327942e-01
8.751455575133516573e-01 9.398478578096315372e-01
8.764281255422616823e-01 9.406800493367407645e-01
8.777018704911505598e-01 9.415035264585036590e-01
8.789668009976091545e-01 9.423183368818501826e-01
8.802229262988970904e-01 9.431245286753268120e-01
8.814702562279267406e-01 9.439221502594308255e-01
8.827088012091767188e-01 9.447112503969535835e-01
8.839385722545356483e-01 9.454918781833340224e-01
8.851595809590775410e-01 9.462640830370240286e-01
8.863718394967696756e-01 9.470279146898687994e-01
8.875753606161117526e-01 9.477834231775034146e-01
8.887701576357132094e-01 9.485306588297689467e-01
8.899562444398024796e-01 9.492696722611488891e-01
8.911336354736751897e-01 9.500005143612284542e-01
8.923023457390789615e-01 9.507232362851801843e-01
8.934623907895367090e-01 9.514378894442752088e-01
8.946137867256106491e-01 9.521445254964248095e-01
8.957565501901065819e-01 9.528431963367524071e-01
8.968906983632208840e-01 9.535339540881991871e-01
8.980162489576299922e-01 9.542168510921651414e-01
8.991332202135242646e-01 9.548919398991866370e-01
9.002416308935888845e-01 9.555592732596530636e-01
9.013415002779293639e-01 9.562189041145647828e-01
9.024328481589458661e-01 9.568708855863341523e-01
9.035156948361571239e-01 9.575152709696299613e-01
9.045900611109732870e-01 9.581521137222699380e-01
9.056559682814216972e-01 9.587814674561595529e-01
9.067134381368240348e-01 9.594033859282834475e-01
9.077624929524277242e-01 9.600179230317460455e-01
9.088031554839928194e-01 9.606251327868677858e-01
9.098354489623347030e-01 9.612250693323347583e-01
9.108593970878238189e-01 9.618177869164062921e-01
9.118750240248459926e-01 9.624033398881810530e-01
9.128823543962194531e-01 9.629817826889225385e-01
9.138814132775776589e-01 9.635531698434468550e-01
9.148722261917093812e-01 9.641175559515728910e-01
9.158548191028665908e-01 9.646749956796386583e-01
9.168292184110352627e-01 9.652255437520820269e-01
9.177954509461736521e-01 9.657692549430905160e-01
9.187535439624164857e-01 9.663061840683194736e-01
9.197035251322486227e-01 9.668363859766809787e-01
9.206454225406500713e-01 9.673599155422041296e-01
9.215792646792094756e-01 9.678768276559694961e-01
9.225050804402132876e-01 9.683871772181166238e-01
9.234228991107057416e-01 9.688910191299283658e-01
9.243327503665262901e-01 9.693884082859918205e-01
9.252346642663220599e-01 9.698793995664373169e-01
9.261286712455384373e-01 9.703640478292565597e-01
9.270148021103881142e-01 9.708424079027017095e-01
9.278930880318012608e-01 9.713145345777657313e-01
9.287635605393554927e-01 9.717804826007454544e-01
9.296262515151902939e-01 9.722403066658874549e-01
9.304811931879041209e-01 9.726940614081206471e-01
9.313284181264370742e-01 9.731418013958721414e-01
9.321679592339412457e-01 9.735835811239710313e-01
9.329998497416358560e-01 9.740194550066398893e-01
9.338241232026546212e-01 9.744494773705730806e-01
9.346408134858819050e-01 9.748737024481057833e-01
9.354499547697793238e-01 9.752921843704726035e-01
9.362515815362079108e-01 9.757049771611562283e-01
9.370457285642407319e-01 9.761121347293282291e-01
9.378324309239737255e-01 9.765137108633820118e-01
9.386117239703313242e-01 9.769097592245582495e-01
9.393836433368697447e-01 9.773003333406639070e-01
9.401482249295808336e-01 9.776854865998856337e-01
9.409055049206929144e-01 9.780652722446974145e-01
9.416555197424760770e-01 9.784397433658632570e-01
9.423983060810482426e-01 9.788089528965363550e-01
9.431339008701848936e-01 9.791729536064531780e-01
9.438623412851347982e-01 9.795317980962253701e-01
9.445836647364402872e-01 9.798855387917274617e-01
9.452979088637656346e-01 9.802342279385829471e-01
9.460051115297343216e-01 9.805779175967469508e-01
9.467053108137737372e-01 9.809166596351879264e-01
9.473985450059739799e-01 9.812505057266667219e-01
9.480848526009542088e-01 9.815795073426151207e-01
9.487642722917459803e-01 9.819037157481111944e-01
9.494368429636881324e-01 9.822231819969562405e-01
9.501026036883365444e-01 9.825379569268477553e-01
9.507615937173932164e-01 9.828480911546542131e-01
9.514138524766486693e-01 9.831536350717869910e-01
9.520594195599452192e-01 9.834546388396725458e-01
9.526983347231595678e-01 9.837511523853235129e-01
9.533306378782048229e-01 9.840432253970093912e-01
9.539563690870557222e-01 9.843309073200260384e-01
9.545755685557938408e-01 9.846142473525644201e-01
9.551882766286799997e-01 9.848932944416785018e-01
9.557945337822479903e-01 9.851680972793519508e-01
9.563943806194253883e-01 9.854387042986637590e-01
9.569878578636822342e-01 9.857051636700518982e-01
9.575750063532034728e-01 9.859675232976763404e-01
9.581558670350946993e-01 9.862258308158788900e-01
9.587304809596137734e-01 9.864801335857422693e-01
9.592988892744338525e-01 9.867304786917454607e-01
9.598611332189391776e-01 9.869769129385170814e-01
9.604172541185503897e-01 9.872194828476855699e-01
9.609672933790855964e-01 9.874582346548256284e-01
9.615112924811535233e-01 9.876932143065006997e-01
9.620492929745821931e-01 9.879244674574020335e-01
9.625813364728841304e-01 9.881520394675815666e-01
9.631074646477560952e-01 9.883759753997808373e-01
9.636277192236183398e-01 9.885963200168532694e-01
9.641421419721901698e-01 9.888131177792813808e-01
9.646507747071058070e-01 9.890264128427855850e-01
9.651536592785693314e-01 9.892362490560275834e-01
9.656508375680497025e-01 9.894426699584041307e-01
9.661423514830178583e-01 9.896457187779329479e-01
9.666282429517254471e-01 9.898454384292304509e-01
9.671085539180250823e-01 9.900418715115778534e-01
9.675833263362363379e-01 9.902350603070781965e-01
9.680526021660529334e-01 9.904250467789015300e-01
