# D_a D_b
1.885752513495956295e-01 2.462231390186642166e-01
1.902345456068280649e-01 2.483071069010923670e-01
1.919019096338121511e-01 2.503996884412456048e-01
1.935773259721389472e-01 2.525008375770886326e-01
1.952607766182197224e-01 2.546105074551738845e-01
1.969522430220681519e-01 2.567286504315554607e-01
1.986517060861278106e-01 2.588552180728084240e-01
2.003591461641544003e-01 2.609901611571650015e-01
2.020745430601376125e-01 2.631334296757512625e-01
2.037978760272918244e-01 2.652849728339327084e-01
2.055291237670738846e-01 2.674447390527697754e-01
2.072682644282760611e-01 2.696126759705841369e-01
2.090152756061519623e-01 2.717887304446346963e-01
2.107701343416078510e-01 2.739728485529007163e-01
2.125328171204331484e-01 2.761649755959787456e-01
2.143032998726042138e-01 2.783650560990944545e-01
2.160815579716217627e-01 2.805730338142199409e-01
2.178675662339164543e-01 2.827888517223046128e-01
2.196612989182968878e-01 2.850124520356257518e-01
2.214627297254700977e-01 2.872437762002426620e-01
2.232718317976005729e-01 2.894827648985697222e-01
2.250885777179374436e-01 2.917293580520677887e-01
2.269129395104864111e-01 2.939834948240375168e-01
2.287448886397538406e-01 2.962451136225390247e-01
2.305843960105368184e-01 2.985141521034225809e-01
2.324314319677733831e-01 3.007905471734731995e-01
2.342859662964588141e-01 3.030742349936695890e-01
2.361479682216054421e-01 3.053651509825668908e-01
2.380174064082778429e-01 3.076632298197820026e-01
2.398942489616757712e-01 3.099684054496099073e-01
2.417784634272874822e-01 3.122806110847453631e-01
2.436700167910922366e-01 3.145997792101230539e-01
2.455688754798345252e-01 3.169258415868787537e-01
2.474750053613455902e-01 3.192587292564260659e-01
2.493883717449481008e-01 3.215983725446441843e-01
2.513089393818964679e-01 3.239447010661895554e-01
2.532366724659037560e-01 3.262976437289206721e-01
2.551715346337144474e-01 3.286571287384422169e-01
2.571134889657460398e-01 3.310230836027630019e-01
2.590624979867964806e-01 3.333954351370711500e-01
2.610185236668105535e-01 3.357741094686319538e-01
2.629815274217163212e-01 3.381590320417933171e-01
2.649514701143168560e-01 3.405501276231130969e-01
2.669283120552540245e-01 3.429473203066044640e-01
2.689120130040351109e-01 3.453505335190919512e-01
2.709025321701270528e-01 3.477596900256870738e-01
2.728998282141074094e-01 3.501747119353836313e-01
2.749038592488917132e-01 3.525955207067588137e-01
2.769145828410201071e-01 3.550220371537979869e-01
2.789319560120124830e-01 3.574541814518343852e-01
2.809559352397944521e-01 3.598918731435953866e-01
2.829864764601763838e-01 3.623350311453750194e-01
2.850235350684156010e-01 3.647835737533086098e-01
2.870670659208349740e-01 3.672374186497731063e-01
2.891170233365171205e-01 3.696964829098879912e-01
2.911733610990555610e-01 3.721606830081406470e-01
2.932360324583821454e-01 3.746299348251133088e-01
2.953049901326593174e-01 3.771041536543352501e-01
2.973801863102425447e-01 3.795832542092285600e-01
2.994615726517060317e-01 3.820671506301798193e-01
3.015491002919423735e-01 3.845557564917151394e-01
3.036427198423257146e-01 3.870489848097852237e-01
3.057423813929507350e-01 3.895467480491577872e-01
3.078480345149291475e-01 3.920489581309269944e-01
3.099596282627657962e-01 3.945555264401138240e-01
3.120771111767971506e-01 3.970663638333884471e-01
3.142004312857045178e-01 3.995813806468910823e-01
3.163295361090865399e-01 4.021004867041606534e-01
3.184643726601099623e-01 4.046235913241644777e-01
3.206048874482266831e-01 4.071506033294395310e-01
3.227510264819603014e-01 4.096814310543218651e-01
3.249027352717582806e-01 4.122159823532929313e-01
3.270599588329170526e-01 4.147541646094188295e-01
3.292226416885755125e-01 4.172958847428911433e-01
3.313907278727764583e-01 4.198410492196640309e-01
3.335641609336025271e-01 4.223895640601946777e-01
3.357428839363683082e-01 4.249413348482772301e-01
3.379268394668956121e-01 4.274962667399703209e-01
3.401159696348482475e-01 4.300542644726244035e-01
3.423102160771457347e-01 4.326152323739972383e-01
3.445095199614298664e-01 4.351790743714678555e-01
3.467138219896153117e-01 4.377456940013344511e-01
3.489230624014999504e-01 4.403149944182124242e-01
3.511371809784477049e-01 4.428868784045085771e-01
3.533561170471364310e-01 4.454612483799925693e-01
3.555798094833768630e-01 4.480380064114515282e-01
3.578081967159952859e-01 4.506170542224294806e-01
3.600412167307924793e-01 4.531982932030492739e-01
3.622788070745570632e-01 4.557816244199225375e-01
3.645209048591575574e-01 4.583669486261302550e-01
3.667674467656961701e-01 4.609541662712918209e-01
3.690183690487324197e-01 4.635431775117085929e-01
3.712736075405684844e-01 4.661338822205843835e-01
3.735330976556036076e-01 4.687261799983204469e-01
3.757967743947575601e-01 4.713199701828876265e-01
3.780645723499568289e-01 4.739151518602621183e-01
3.803364257086829792e-01 4.765116238749406152e-01
3.826122682585912926e-01 4.791092848405216209e-01
3.848920333921931336e-01 4.817080331503512669e-01
3.871756541116004868e-01 4.843077669882370762e-01
3.894630630333395516e-01 4.869083843392250088e-01
3.917541923932178483e-01 4.895097830004419004e-01
3.940489740512664874e-01 4.921118605919916345e-01
3.963473394967371721e-01 4.947145145679153755e-01
3.986492198531683684e-01 4.973176422272090891e-01
4.009545458835044318e-01 4.999211407248937977e-01
4.032632479952851234e-01 5.025249070831393494e-01
4.055752562458903032e-01 5.051288382024445855e-01
4.078905003478497937e-01 5.077328308728590311e-01
4.102089096742097540e-01 5.103367817852588750e-01
4.125304132639597832e-01 5.129405875426701344e-01
4.148549398275204192e-01 5.155441446716297893e-01
4.171824177522895916e-01 5.181473496335911033e-01
4.195127751082425860e-01 5.207500988363782390e-01
4.218459396535952921e-01 5.233522886456625223e-01
4.241818388405207418e-01 5.259538153964904428e-01
4.265203998209257108e-01 5.285545754048384115e-01
4.288615494522772797e-01 5.311544649791996031e-01
4.312052143034885709e-01 5.337533804322036612e-01
4.335513206608593295e-01 5.363512180922670458e-01
4.358997945340710167e-01 5.389478743152609219e-01
4.382505616622297540e-01 5.415432454962125775e-01
4.406035475199673312e-01 5.441372280810228279e-01
4.429586773235919539e-01 5.467297185782080682e-01
4.453158760372918357e-01 5.493206135706538706e-01
4.476750683793888630e-01 5.519098097273897885e-01
4.500361788286363351e-01 5.544972038153769267e-01
4.523991316305762123e-01 5.570826927113035065e-01
4.547638508039348881e-01 5.596661734133908661e-01
4.571302601470750293e-01 5.622475430532105634e-01
4.594982832444857168e-01 5.648266989074999245e-01
4.618678434733257676e-01 5.674035384099832546e-01
4.642388640100064690e-01 5.699779591631961573e-01
4.666112678368243838e-01 5.725498589503004165e-01
4.689849777486330140e-01 5.751191357469013221e-01
4.713599163595584285e-01 5.776856877328582218e-01
4.737360061097589670e-01 5.802494133040811963e-01
