# obj_no phot_z age_old age_new f_old_V  EBV norm chi
1.000000000000000000e+00 4.299999999999999933e-01 1.434000000000000000e+09 1.000000000000000000e+07 7.080048279597983552e-01 0.000000000000000000e+00 4.414535995230075534e-18 1.978384170446193821e+03
2.000000000000000000e+00 3.370000000000000107e+00 2.000000000000000000e+09 2.511900000000000000e+07 7.080048279597983552e-01 9.750000000000000888e-01 2.987877775118725100e-15 1.283246747384440368e+03
3.000000000000000000e+00 3.900000000000000133e-01 8.064000000000000000e+08 1.000000000000000000e+07 7.080048279597983552e-01 2.500000000000000139e-02 3.526577295791929666e-18 1.536415351653596872e+03
4.000000000000000000e+00 1.699999999999999956e+00 4.000000000000000000e+09 5.000000000000000000e+07 9.003521803856815442e-01 3.250000000000000111e-01 2.575910290234927860e-18 7.940854191093449117e+02
5.000000000000000000e+00 3.910000000000000142e+00 1.700000000000000000e+09 5.000000000000000000e+07 7.080048279597983552e-01 3.750000000000000000e-01 8.715682019619346744e-18 9.104874397009340328e+02
6.000000000000000000e+00 3.500000000000000333e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.003521803856815442e-01 1.250000000000000000e-01 8.525478809815494834e-19 9.255245227430613113e+02
7.000000000000000000e+00 5.100000000000000089e-01 2.500000000000000000e+09 1.000000000000000000e+07 7.345771296661833816e-01 0.000000000000000000e+00 5.052455138932024137e-19 6.214007566484498284e+02
8.000000000000000000e+00 3.649999999999999911e+00 1.700000000000000000e+09 5.000000000000000000e+07 7.080048279597983552e-01 1.750000000000000167e-01 1.023761089908585748e-18 9.628850580218071400e+02
9.000000000000000000e+00 1.090000000000000080e+00 2.500000000000000000e+09 2.511900000000000000e+07 7.080048279597983552e-01 1.000000000000000000e+00 3.981511934817403876e-15 7.338614115117023175e+03
1.000000000000000000e+01 4.860000000000000320e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.003521803856815442e-01 4.250000000000000444e-01 5.471612261696238515e-17 6.037061581914808812e+03
1.100000000000000000e+01 1.459999999999999964e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.003521803856815442e-01 6.000000000000000888e-01 2.232989941678521110e-16 1.846356517369986250e+03
1.200000000000000000e+01 3.510000000000000231e+00 2.000000000000000000e+09 5.000000000000000000e+07 7.080048279597983552e-01 2.250000000000000056e-01 2.181287982425882500e-18 5.927764273821987899e+02
1.300000000000000000e+01 2.300000000000000266e+00 3.000000000000000000e+09 2.511900000000000000e+07 7.080048279597983552e-01 3.250000000000000111e-01 1.043043712277010069e-17 1.127222770221151450e+03
1.400000000000000000e+01 1.570000000000000062e+00 4.000000000000000000e+09 2.511900000000000000e+07 8.362199171250624952e-01 1.000000000000000000e+00 2.211993834610478211e-15 2.249130946819955170e+03
1.500000000000000000e+01 4.990000000000000213e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.003521803856815442e-01 0.000000000000000000e+00 9.983713382070071204e-20 8.677492417842556733e+02
1.600000000000000000e+01 3.580000000000000071e+00 2.000000000000000000e+09 5.000000000000000000e+07 7.080048279597983552e-01 3.750000000000000000e-01 2.031498830201532344e-17 1.410032214171014175e+03
1.700000000000000000e+01 1.040000000000000036e+00 1.434000000000000000e+09 5.000000000000000000e+07 9.003521803856815442e-01 6.000000000000000888e-01 2.572719237872305234e-16 4.806975017215744629e+03
1.800000000000000000e+01 3.200000000000000067e-01 8.064000000000000000e+08 1.000000000000000000e+07 8.781743261443593074e-01 0.000000000000000000e+00 3.131707214088606807e-18 3.163810928775550565e+03
1.900000000000000000e+01 3.189999999999999947e+00 2.000000000000000000e+09 5.000000000000000000e+07 7.080048279597983552e-01 3.500000000000000333e-01 1.672041681942856341e-17 2.059825773874993956e+03
2.000000000000000000e+01 1.179999999999999938e+00 4.000000000000000000e+09 1.000000000000000000e+07 8.010703869145960887e-01 0.000000000000000000e+00 3.004827628055394048e-19 5.234537577274018076e+02
2.100000000000000000e+01 4.299999999999999933e-01 4.000000000000000000e+09 1.000000000000000000e+07 7.588113568490419958e-01 1.000000000000000000e+00 7.549238537802866821e-16 6.327168265961164252e+03
2.200000000000000000e+01 7.500000000000000000e-01 5.088000000000000000e+08 5.000000000000000000e+07 9.003521803856815442e-01 4.500000000000000111e-01 4.135949199565915901e-18 1.159986158310045084e+03
2.300000000000000000e+01 3.879999999999999893e+00 1.700000000000000000e+09 5.000000000000000000e+07 7.080048279597983552e-01 4.250000000000000444e-01 2.678787902169656691e-17 1.110458234599250545e+03
2.400000000000000000e+01 1.260000000000000009e+00 2.500000000000000000e+09 5.000000000000000000e+07 9.003521803856815442e-01 6.750000000000000444e-01 1.800626054583872130e-16 1.757497729098767195e+03
2.500000000000000000e+01 4.400000000000000022e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.003521803856815442e-01 1.250000000000000000e-01 8.121770320713263009e-19 8.865642470609324164e+02
2.600000000000000000e+01 3.479999999999999982e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.003521803856815442e-01 5.000000000000000278e-02 2.966973933460384473e-19 7.395775521289656353e+02
2.700000000000000000e+01 4.360000000000000320e+00 5.088000000000000000e+08 5.000000000000000000e+07 9.003521803856815442e-01 1.000000000000000056e-01 2.071413532678031024e-18 2.265716264799806140e+03
2.800000000000000000e+01 1.040000000000000036e+00 1.434000000000000000e+09 5.000000000000000000e+07 9.003521803856815442e-01 4.000000000000000222e-01 9.754315493202967899e-18 1.351496152959547771e+03
