# obj_no phot_z age_old age_new f_old_V  EBV norm chi
1.000000000000000000e+00 2.899999999999999800e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.783772233983162314e-01 0.000000000000000000e+00 3.576786438486207079e-19 1.991276302655006702e+03
2.000000000000000000e+00 1.409999999999999920e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.934041309256244068e-01 1.250000000000000000e-01 1.570344200660183350e-19 1.273105979190354674e+03
3.000000000000000000e+00 2.999999999999999889e-02 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.500000000000000222e-01 1.777689653774138824e-17 1.537058610147651734e+03
4.000000000000000000e+00 4.270000000000000462e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.985184637850311740e-01 9.500000000000000666e-01 1.330559545986844170e-19 7.917731620227290250e+02
5.000000000000000000e+00 5.500000000000000444e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 5.000000000000000278e-02 4.792774373211313768e-18 9.187735435672541371e+02
6.000000000000000000e+00 3.500000000000000333e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.783772233983162314e-01 0.000000000000000000e+00 1.109531127078239822e-19 9.290138242147052097e+02
7.000000000000000000e+00 2.479999999999999982e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.848811356849042076e-01 0.000000000000000000e+00 1.012555275449850823e-19 6.202835716001469564e+02
8.000000000000000000e+00 4.969999999999999751e+00 8.064000000000000000e+08 2.511900000000000000e+07 9.783772233983162314e-01 2.500000000000000139e-02 9.823254990292164614e-20 9.685853406743833602e+02
9.000000000000000000e+00 1.090000000000000080e+00 8.064000000000000000e+08 2.511900000000000000e+07 9.941510680753888884e-01 4.750000000000000333e-01 9.165351569920175923e-19 8.001449959838021641e+03
1.000000000000000000e+01 2.689999999999999947e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.500000000000000000e+00 6.024896099549022277e-16 6.308740027374423335e+03
1.100000000000000000e+01 1.459999999999999964e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.783772233983162314e-01 5.500000000000000444e-01 3.440447597010851719e-18 1.980876800369986540e+03
1.200000000000000000e+01 5.000000000000000000e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.995287145194909906e-01 0.000000000000000000e+00 8.741442857624576248e-20 6.003264529651142993e+02
1.300000000000000000e+01 8.000000000000000167e-02 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 7.500000000000001110e-02 1.059605206475783411e-17 1.135530923339014862e+03
1.400000000000000000e+01 1.110000000000000098e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.783772233983162314e-01 2.500000000000000000e-01 7.622502399622464945e-19 2.459592204745364597e+03
1.500000000000000000e+01 2.620000000000000107e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.948643875156378824e-01 1.500000000000000000e+00 3.547708001135645535e-19 8.832259274123650812e+02
1.600000000000000000e+01 4.199999999999999845e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 7.500000000000001110e-02 1.151286913841116892e-17 1.417515554878329112e+03
1.700000000000000000e+01 1.040000000000000036e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 5.500000000000000444e-01 2.124063974804521422e-16 4.858710571046446603e+03
1.800000000000000000e+01 3.200000000000000067e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.783772233983162314e-01 0.000000000000000000e+00 5.558840497215956469e-19 3.222339821338739057e+03
1.900000000000000000e+01 3.800000000000000044e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.783772233983162314e-01 0.000000000000000000e+00 2.290697555339484532e-19 2.068276129376640711e+03
2.000000000000000000e+01 3.399999999999999911e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.783772233983162314e-01 2.500000000000000139e-02 5.752136798447229607e-20 5.237909511816101258e+02
2.100000000000000000e+01 1.530000000000000027e+00 8.064000000000000000e+08 2.511900000000000000e+07 9.783772233983162314e-01 1.500000000000000000e+00 1.756108621175900068e-17 6.989071347438200064e+03
2.200000000000000000e+01 7.500000000000000000e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 5.750000000000000666e-01 1.081224031684765185e-17 1.161291036243137114e+03
2.300000000000000000e+01 5.000000000000000000e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.750000000000000000e-01 1.325700360316452542e-17 1.111764484003792859e+03
2.400000000000000000e+01 1.260000000000000009e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.750000000000000000e-01 6.792560064425519950e-17 1.766941105594871942e+03
2.500000000000000000e+01 4.000000000000000222e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.860116708098051186e-01 0.000000000000000000e+00 6.963785794743634476e-20 8.853488515264932630e+02
2.600000000000000000e+01 4.360000000000000320e+00 8.064000000000000000e+08 2.511900000000000000e+07 9.783772233983162314e-01 6.500000000000000222e-01 2.717879432407827863e-19 7.482800885845055063e+02
2.700000000000000000e+01 6.400000000000000133e-01 8.064000000000000000e+08 2.511900000000000000e+07 9.941510680753888884e-01 0.000000000000000000e+00 9.376414215466199876e-20 3.007775339594197703e+03
2.800000000000000000e+01 1.040000000000000036e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.783772233983162314e-01 3.000000000000000444e-01 3.597927244432777115e-19 1.368032189629322829e+03
2.900000000000000000e+01 2.890000000000000124e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 1.500000000000000222e-01 5.064207601171481143e-17 4.778784542589716875e+04
3.000000000000000000e+01 4.820000000000000284e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.990352180385682068e-01 6.750000000000000444e-01 2.964489778303261058e-19 9.733058205035208630e+02
3.100000000000000000e+01 4.080000000000000071e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.783772233983162314e-01 1.500000000000000000e+00 1.146080395465493344e-18 1.248690576808016431e+03
3.200000000000000000e+01 1.520000000000000018e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.783772233983162314e-01 1.250000000000000000e+00 4.687783504116227067e-18 2.144334785486028977e+03
3.300000000000000000e+01 3.699999999999999956e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 3.250000000000000111e-01 7.205204066595289763e-18 1.111671146417955242e+03
3.400000000000000000e+01 4.200000000000000178e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 7.250000000000000888e-01 -2.480635723055861279e-17 5.937365503973773002e+02
3.500000000000000000e+01 1.060000000000000053e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 5.250000000000000222e-01 1.848662164196689680e-16 5.714281142311806434e+03
