# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi
1.000000000000000000e+00 2.225999999999999979e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 1.750000000000000167e-01 6.042226349974280768e-18 2.121672584591410669e+02
2.000000000000000000e+00 7.850000000000000311e-01 7.800000000000000266e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 2.500000000000000139e-02 5.332114256648971047e-18 1.555605174671061377e+02
3.000000000000000000e+00 1.606000000000000094e+00 1.590000000000000080e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 0.000000000000000000e+00 2.246013741035747575e-18 1.010742024997524595e+02
4.000000000000000000e+00 1.328999999999999959e+00 1.239999999999999991e+00 1.139100030000000000e+09 1.000000000000000000e+07 9.768868878517409371e-01 0.000000000000000000e+00 3.155974156212521743e-18 1.004613282904948051e+02
5.000000000000000000e+00 8.719999999999999973e-01 8.900000000000000133e-01 1.139100030000000000e+09 1.000000000000000000e+07 9.768868878517409371e-01 0.000000000000000000e+00 6.988937761042728692e-18 1.178063217952560962e+02
6.000000000000000000e+00 8.169999999999999485e-01 6.400000000000000133e-01 3.000000000000000000e+09 1.000000000000000000e+07 9.768868878517409371e-01 1.250000000000000000e-01 7.444053536505383395e-18 4.994154973690096000e+01
7.000000000000000000e+00 1.030999999999999917e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 3.500000000000000333e-01 1.393505390933082050e-17 2.241683668821997060e+02
8.000000000000000000e+00 1.409999999999999920e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 2.250000000000000056e-01 4.899048129259273124e-18 2.783782005711545366e+02
9.000000000000000000e+00 3.579999999999999849e-01 3.200000000000000067e-01 1.434000000000000000e+09 5.000000000000000000e+07 9.798004827959798657e-01 1.500000000000000222e-01 2.072094789846332484e-17 3.636409668538777673e+00
1.000000000000000000e+01 3.880000000000000115e-01 1.700000000000000122e-01 1.700000000000000000e+09 1.000000000000000000e+07 9.768868878517409371e-01 0.000000000000000000e+00 3.321179900018240296e-18 7.130795962817649070e+01
1.100000000000000000e+01 1.030000000000000027e+00 9.899999999999999911e-01 1.139100030000000000e+09 5.000000000000000000e+07 9.979773556538258372e-01 1.000000000000000056e-01 1.036332660960068254e-18 4.095832085854099525e+00
1.200000000000000000e+01 1.203999999999999959e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 7.500000000000001110e-02 3.195515211921202942e-18 2.136060173545935470e+02
1.300000000000000000e+01 1.990000000000000102e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 2.750000000000000222e-01 1.987222039831598463e-17 1.562063406156929375e+02
1.400000000000000000e+01 5.430000000000000382e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 2.250000000000000056e-01 9.818188503391623593e-18 1.223343115957404734e+02
1.500000000000000000e+01 4.299999999999999933e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 1.750000000000000167e-01 3.219550917189734381e-17 1.041871084299989434e+02
1.600000000000000000e+01 1.655000000000000027e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 1.000000000000000056e-01 3.741743383718299771e-18 2.944510671368600470e+02
1.700000000000000000e+01 3.438000000000000167e+00 3.099999999999999978e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 5.000000000000000278e-02 6.381582061420195632e-17 1.088863506936770875e+02
1.800000000000000000e+01 8.129999999999999449e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 2.000000000000000111e-01 5.337625303479104452e-18 1.634699711447516393e+02
1.900000000000000000e+01 1.191999999999999948e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 2.000000000000000111e-01 6.573330638932738226e-18 2.410115147966674840e+02
2.000000000000000000e+01 2.580999999999999961e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 7.500000000000001110e-02 3.237207085906717665e-18 1.720847907431879662e+02
2.100000000000000000e+01 8.309999999999999609e-01 1.330000000000000071e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 2.500000000000000139e-02 7.876561483431671175e-18 1.916680385525552310e+02
2.200000000000000000e+01 1.629000000000000004e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 3.250000000000000111e-01 5.882910638884319517e-18 3.283769224670853646e+02
2.300000000000000000e+01 1.060999999999999943e+00 1.310000000000000053e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 0.000000000000000000e+00 4.952481901229562528e-18 1.950240560520664701e+02
2.400000000000000000e+01 4.259999999999999898e-01 1.000000000000000056e-01 2.000000000000000000e+09 1.000000000000000000e+07 9.768868878517409371e-01 0.000000000000000000e+00 3.772995187901062403e-18 7.869232440459330746e+01
2.500000000000000000e+01 6.959999999999999520e-01 6.300000000000000044e-01 2.500000000000000000e+09 1.000000000000000000e+07 9.768868878517409371e-01 1.250000000000000000e-01 3.199912462641609311e-18 9.204274132042808532e+00
2.600000000000000000e+01 1.028999999999999915e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 3.750000000000000000e-01 1.335474333040639301e-17 2.557407339668123427e+02
2.700000000000000000e+01 1.028000000000000025e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 3.250000000000000111e-01 5.043803441657809498e-18 2.560945834392940128e+02
2.800000000000000000e+01 4.510000000000000120e-01 1.100000000000000006e-01 2.000000000000000000e+09 1.000000000000000000e+07 9.768868878517409371e-01 0.000000000000000000e+00 5.773681150247847367e-18 9.633588471267567854e+01
2.900000000000000000e+01 4.309999999999999942e-01 1.100000000000000006e-01 2.000000000000000000e+09 1.000000000000000000e+07 9.768868878517409371e-01 5.000000000000000278e-02 1.990354593032452801e-18 4.975815812843118380e+01
3.000000000000000000e+01 1.245000000000000107e+00 1.000000000000000021e-02 5.088000000000000000e+08 2.511900000000000000e+07 9.768868878517409371e-01 3.500000000000000333e-01 7.320871012815118961e-18 3.079802141190855878e+02
3.100000000000000000e+01 1.824000000000000066e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 1.250000000000000000e-01 9.324456575413217062e-18 2.933024236903328870e+02
