# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi
1.000000000000000000e+00 2.225999999999999979e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 2.000000000000000111e-01 2.554921772862266275e-17 1.944391977221881120e+02
2.000000000000000000e+00 7.850000000000000311e-01 6.099999999999999867e-01 2.000000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 1.635122120999543573e-17 2.143002145629267119e+01
3.000000000000000000e+00 1.606000000000000094e+00 1.429999999999999938e+00 5.088000000000000000e+08 2.511900000000000000e+07 9.100000000000000311e-01 1.250000000000000000e-01 1.307969913679320519e-17 3.713651631044555046e+01
4.000000000000000000e+00 1.328999999999999959e+00 9.599999999999999645e-01 1.434000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 2.000000000000000111e-01 2.339078796841605244e-17 2.456443775201140767e+01
5.000000000000000000e+00 8.719999999999999973e-01 6.600000000000000311e-01 2.000000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 1.750000000000000167e-01 4.669060772219940838e-17 2.450802762337466589e+01
6.000000000000000000e+00 8.169999999999999485e-01 5.700000000000000622e-01 2.500000000000000000e+09 5.000000000000000000e+07 9.268236228897329676e-01 2.750000000000000222e-01 3.780961759742317489e-17 1.907528676423204317e+01
7.000000000000000000e+00 1.030999999999999917e+00 8.900000000000000133e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 1.234832619572005334e-17 6.326682932500625611e+01
8.000000000000000000e+00 1.409999999999999920e+00 1.390000000000000124e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 4.981718152988538448e-18 1.062005470356792927e+02
9.000000000000000000e+00 3.579999999999999849e-01 3.300000000000000155e-01 1.434000000000000000e+09 5.000000000000000000e+07 9.736921945229898290e-01 1.500000000000000222e-01 2.689372023794670320e-17 4.798803153516857378e+00
1.000000000000000000e+01 3.880000000000000115e-01 3.200000000000000067e-01 1.434000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 1.241274139291576286e-17 8.888726932441262107e+00
1.100000000000000000e+01 1.030000000000000027e+00 8.100000000000000533e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 3.750000000000000000e-01 3.445060137518682114e-17 7.639671749925943800e+01
1.200000000000000000e+01 1.203999999999999959e+00 1.000000000000000021e-02 5.088000000000000000e+08 2.511900000000000000e+07 9.100000000000000311e-01 7.500000000000001110e-02 1.258501269575172728e-17 1.908781092089533615e+02
1.300000000000000000e+01 1.990000000000000102e-01 1.000000000000000021e-02 5.088000000000000000e+08 2.511900000000000000e+07 9.100000000000000311e-01 2.750000000000000222e-01 7.819889152875711181e-17 1.332036638758255833e+02
1.400000000000000000e+01 5.430000000000000382e-01 6.300000000000000044e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 1.311296591247773983e-17 5.569957209790096897e+01
1.500000000000000000e+01 4.299999999999999933e-01 4.100000000000000311e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 5.684120303752410956e-17 5.408382727164236314e+01
1.600000000000000000e+01 1.655000000000000027e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 1.000000000000000056e-01 1.493614349795042050e-17 2.686012768049215538e+02
1.700000000000000000e+01 3.438000000000000167e+00 2.999999999999999889e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.736921945229898290e-01 7.500000000000001110e-02 1.805379467974640825e-18 1.182878017947701608e+02
1.800000000000000000e+01 8.129999999999999449e-01 7.700000000000000178e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 6.888292879023793030e-18 1.341341798329441133e+02
1.900000000000000000e+01 1.191999999999999948e+00 9.899999999999999911e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 7.592047528495352302e-18 1.718732288417661209e+02
2.000000000000000000e+01 2.580999999999999961e+00 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 1.000000000000000056e-01 1.368063247102676112e-17 1.563545115839991695e+02
2.100000000000000000e+01 8.309999999999999609e-01 6.900000000000000577e-01 2.000000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 5.000000000000000278e-02 3.120287236956621361e-17 2.907580390288783434e+01
2.200000000000000000e+01 1.629000000000000004e+00 1.429999999999999938e+00 5.088000000000000000e+08 2.511900000000000000e+07 9.100000000000000311e-01 2.500000000000000139e-02 5.780303745399142942e-18 7.544580299730898787e+01
2.300000000000000000e+01 1.060999999999999943e+00 8.000000000000000444e-01 1.700000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 1.794343118454241147e-17 3.016866164003947048e+01
2.400000000000000000e+01 4.259999999999999898e-01 4.199999999999999845e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 2.500000000000000139e-02 1.637810619383926610e-17 1.376296786352449075e+01
2.500000000000000000e+01 6.959999999999999520e-01 6.099999999999999867e-01 2.500000000000000000e+09 5.000000000000000000e+07 9.663484167759833765e-01 1.500000000000000222e-01 5.014448126578770932e-18 7.834882796926448734e+00
2.600000000000000000e+01 1.028999999999999915e+00 8.699999999999999956e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 1.140737901736304510e-17 3.559689129211641756e+01
2.700000000000000000e+01 1.028000000000000025e+00 1.000000000000000000e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 4.462304054542967833e-18 6.992641364233263346e+01
2.800000000000000000e+01 4.510000000000000120e-01 4.299999999999999933e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 2.500000000000000139e-02 2.515844205734386886e-17 1.653593263001634028e+01
2.900000000000000000e+01 4.309999999999999942e-01 3.599999999999999867e-01 1.434000000000000000e+09 2.511900000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 6.481868588474041673e-18 4.271015720752523670e+00
3.000000000000000000e+01 1.245000000000000107e+00 1.100000000000000089e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 5.993342098952252752e-18 4.842166132352075181e+01
3.100000000000000000e+01 1.824000000000000066e+00 1.709999999999999964e+00 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 1.124836893414082171e-17 2.148079223540206328e+02
3.200000000000000000e+01 2.736000000000000210e+00 1.799999999999999933e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 1.000000000000000056e-01 1.776427290299077273e-17 1.051393763260036422e+02
3.300000000000000000e+01 6.460000000000000187e-01 4.299999999999999933e-01 4.000000000000000000e+09 1.000000000000000000e+07 9.100000000000000311e-01 1.250000000000000000e-01 5.707737516285519336e-17 1.499041322474119298e+01
3.400000000000000000e+01 1.082000000000000073e+00 9.699999999999999734e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 1.060186012023323962e-17 6.497671496653245526e+01
3.500000000000000000e+01 9.180000000000000382e-01 7.600000000000000089e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 2.000000000000000111e-01 2.435805221241985327e-17 1.465851081837127978e+01
3.600000000000000000e+01 5.040000000000000036e-01 1.000000000000000021e-02 5.088000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 1.000000000000000056e-01 3.278231638160548783e-17 1.031789903952460605e+02
