# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi
1.000000000000000000e+00 2.225999999999999979e+00 2.160000000000000142e+00 5.088000000000000000e+08 1.000000000000000000e+07 2.514224249708160164e-01 3.500000000000000333e-01 1.439022878780587920e-16 9.530931214558776787e+00
2.000000000000000000e+00 7.850000000000000311e-01 6.800000000000000488e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 3.000000000000000444e-01 1.882057489993801147e-16 2.045293923710090311e+01
3.000000000000000000e+00 1.606000000000000094e+00 7.600000000000000089e-01 1.700000000000000000e+09 1.000000000000000000e+07 5.734841677598339071e-01 3.250000000000000111e-01 1.059184091021709461e-16 3.894185156417485416e+01
4.000000000000000000e+00 1.328999999999999959e+00 9.899999999999999911e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 4.500000000000000111e-01 2.178729217708102786e-16 1.761195401558268259e+01
5.000000000000000000e+00 8.719999999999999973e-01 7.199999999999999734e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 4.750000000000000333e-01 5.527170053907881664e-16 2.377267999893429362e+01
6.000000000000000000e+00 8.169999999999999485e-01 1.700000000000000122e-01 1.700000000000000000e+09 1.000000000000000000e+07 6.788688785174088469e-01 7.250000000000000888e-01 5.375442122803816021e-16 3.435839353582139921e+01
7.000000000000000000e+00 1.030999999999999917e+00 8.499999999999999778e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.750000000000000167e-01 8.142080374683027351e-17 1.047489591895176808e+01
8.000000000000000000e+00 1.409999999999999920e+00 9.500000000000000666e-01 8.064000000000000000e+08 1.000000000000000000e+07 5.734841677598339071e-01 1.750000000000000167e-01 4.354089533379689636e-17 1.680454011665508673e+01
9.000000000000000000e+00 3.579999999999999849e-01 4.000000000000000083e-02 1.434000000000000000e+09 5.000000000000000000e+07 6.788688785174088469e-01 5.500000000000000444e-01 9.301408642213071230e-16 1.217809564519516954e+02
1.000000000000000000e+01 3.880000000000000115e-01 1.799999999999999933e-01 1.434000000000000000e+09 5.000000000000000000e+07 6.788688785174088469e-01 1.750000000000000167e-01 7.967162002006936107e-17 3.995850586497423507e+01
1.100000000000000000e+01 1.030000000000000027e+00 1.000000000000000021e-02 4.000000000000000000e+09 5.000000000000000000e+07 6.788688785174088469e-01 9.750000000000000888e-01 7.909301321659429375e-16 2.087836530636323573e+02
1.200000000000000000e+01 1.203999999999999959e+00 9.200000000000000400e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.118928294465026951e-01 2.500000000000000139e-02 1.993015844799809646e-17 1.486607342346115423e+01
1.300000000000000000e+01 1.990000000000000102e-01 8.999999999999999667e-02 3.000000000000000000e+09 2.511900000000000000e+07 1.000000000000000888e-02 4.500000000000000111e-01 1.514838586134929685e-15 7.814835857587417500e+00
1.400000000000000000e+01 5.430000000000000382e-01 4.799999999999999822e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.250000000000000000e-01 7.469380633340147300e-17 2.002518594619548864e+01
1.500000000000000000e+01 4.299999999999999933e-01 4.199999999999999845e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.000000000000000056e-01 2.634380062808549742e-16 6.747381651095103017e+00
1.600000000000000000e+01 1.655000000000000027e+00 1.439999999999999947e+00 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 5.000000000000000278e-02 1.709474159091298626e-17 5.180647408076436733e+01
1.700000000000000000e+01 3.438000000000000167e+00 3.189999999999999947e+00 2.000000000000000000e+09 1.000000000000000000e+07 3.181690290810633703e-01 3.000000000000000444e-01 3.777944762558392142e-17 3.389416114754462228e+01
1.800000000000000000e+01 8.129999999999999449e-01 7.199999999999999734e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 7.500000000000001110e-02 3.022178592573168048e-17 1.601239767177543527e+01
1.900000000000000000e+01 1.191999999999999948e+00 9.300000000000000488e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 7.500000000000001110e-02 3.337445993363901012e-17 1.306085621623852333e+01
2.000000000000000000e+01 2.580999999999999961e+00 2.430000000000000160e+00 8.064000000000000000e+08 5.000000000000000000e+07 3.181690290810633703e-01 2.000000000000000111e-01 3.752765707831806949e-17 8.347158090254868767e+00
2.100000000000000000e+01 8.309999999999999609e-01 7.299999999999999822e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 3.500000000000000333e-01 3.662248287977586561e-16 1.270971127166615489e+01
2.200000000000000000e+01 1.629000000000000004e+00 7.000000000000000666e-01 1.434000000000000000e+09 1.000000000000000000e+07 4.345600626628430829e-01 3.000000000000000444e-01 9.856115704800023553e-17 3.769910392300386803e+01
2.300000000000000000e+01 1.060999999999999943e+00 8.599999999999999867e-01 5.088000000000000000e+08 5.000000000000000000e+07 6.469219452298986539e-01 3.000000000000000444e-01 2.246207090825307660e-16 1.444584524823670435e+01
