# obj_no phot_z age_old age_new f_old_V  EBV norm chi
1.000000000000000000e+00 4.299999999999999933e-01 8.064000000000000000e+08 1.000000000000000000e+07 5.088127663727277650e-01 5.000000000000000000e-01 1.340134188755193860e-17 1.984732378959502057e+03
2.000000000000000000e+00 8.699999999999999956e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 1.230239790421981641e-17 1.301380481009803134e+03
3.000000000000000000e+00 3.900000000000000133e-01 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 1.175000000000000044e+00 4.625469894009226640e-17 1.531406007686978000e+03
4.000000000000000000e+00 1.199999999999999956e+00 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 8.750000000000000000e-01 1.202080444388442585e-18 7.969499931969763793e+02
5.000000000000000000e+00 5.500000000000000444e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 8.750000000000000000e-01 3.722292880773720763e-18 9.378451674717399555e+02
6.000000000000000000e+00 3.500000000000000333e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 3.000000000000000444e-01 2.382566802318144624e-18 9.308730441945600660e+02
7.000000000000000000e+00 5.999999999999999778e-01 8.064000000000000000e+08 1.000000000000000000e+07 6.788688785174088469e-01 3.250000000000000111e-01 8.186705968315093679e-19 6.214530702699580615e+02
8.000000000000000000e+00 4.969999999999999751e+00 8.064000000000000000e+08 2.511900000000000000e+07 1.000000000000000888e-02 2.500000000000000139e-02 9.865228531666764915e-20 9.685790983370967524e+02
9.000000000000000000e+00 1.020000000000000018e+00 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 8.790899456926866197e-17 1.196422562157990069e+04
1.000000000000000000e+01 8.699999999999999956e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 2.700795345745306774e-17 7.106296921406556066e+03
1.100000000000000000e+01 8.300000000000000711e-01 8.064000000000000000e+08 2.511900000000000000e+07 6.469219452298986539e-01 1.500000000000000000e+00 6.208145291500342713e-17 2.177006571332806743e+03
1.200000000000000000e+01 5.000000000000000000e+00 8.064000000000000000e+08 1.000000000000000000e+07 6.788688785174088469e-01 1.000000000000000056e-01 1.156666499266815717e-19 6.013275895733137304e+02
1.300000000000000000e+01 2.300000000000000266e+00 8.064000000000000000e+08 2.511900000000000000e+07 1.000000000000000888e-02 8.750000000000000000e-01 2.404411586553148933e-18 1.125051501908043065e+03
1.400000000000000000e+01 9.899999999999999911e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 2.638012466571350349e-17 2.694310397952865515e+03
1.500000000000000000e+01 8.300000000000000711e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 4.020619265806731294e-18 8.977236543250046452e+02
1.600000000000000000e+01 4.600000000000000200e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 5.750000000000000666e-01 6.462320322664645409e-18 1.426325542575752252e+03
1.700000000000000000e+01 1.040000000000000036e+00 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 1.181686943827063513e-16 1.578400486463011657e+04
1.800000000000000000e+01 3.200000000000000067e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.750000000000000167e-01 1.030321516295048704e-17 3.212165083731359118e+03
1.900000000000000000e+01 2.220000000000000195e+00 8.064000000000000000e+08 1.000000000000000000e+07 5.313699076773616969e-01 1.275000000000000133e+00 4.939965548594588068e-18 2.072933457577178160e+03
2.000000000000000000e+01 3.050000000000000266e+00 8.064000000000000000e+08 2.511900000000000000e+07 6.788688785174088469e-01 4.500000000000000111e-01 1.579492671613955596e-19 5.237073484387487952e+02
2.100000000000000000e+01 9.899999999999999911e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 9.764304557398577181e-17 1.006976648616510283e+04
2.200000000000000000e+01 7.500000000000000000e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 8.045893066684053235e-18 1.182001638773909917e+03
2.300000000000000000e+01 4.799999999999999822e+00 8.064000000000000000e+08 5.000000000000000000e+07 1.000000000000000888e-02 1.500000000000000000e+00 1.808672776173041728e-18 1.126555843241665571e+03
2.400000000000000000e+01 8.599999999999999867e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 3.100436886299449540e-17 2.242339940058532648e+03
2.500000000000000000e+01 4.400000000000000022e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 3.750000000000000000e-01 2.415294248952067121e-18 8.909251914034563242e+02
2.600000000000000000e+01 3.479999999999999982e+00 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 8.000000000000000444e-01 5.605941434630095573e-19 7.479512879826055496e+02
2.700000000000000000e+01 4.360000000000000320e+00 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 3.906388773332283028e-18 3.075154841809483514e+03
2.800000000000000000e+01 1.040000000000000036e+00 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 1.278817071593975280e-17 1.432581009888150902e+03
2.900000000000000000e+01 4.980000000000000426e+00 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 1.045399309386220106e-18 4.806406091798409034e+04
3.000000000000000000e+01 4.870000000000000107e+00 8.064000000000000000e+08 1.000000000000000000e+07 6.788688785174088469e-01 9.750000000000000888e-01 3.305680245586995649e-19 9.750040087273309837e+02
3.100000000000000000e+01 4.080000000000000071e+00 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 1.196872733099248077e-18 1.247676291912737724e+03
3.200000000000000000e+01 1.040000000000000036e+00 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 3.501519923790480163e-17 2.288282505091926851e+03
3.300000000000000000e+01 4.660000000000000142e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 1.300000000000000044e+00 6.006508053198687805e-19 1.117166859383612973e+03
3.400000000000000000e+01 9.799999999999999822e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 -1.892060743750844135e-19 5.971242298921155225e+02
3.500000000000000000e+01 1.060000000000000053e+00 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 1.014756470525026835e-16 1.391311003378432906e+04
3.600000000000000000e+01 6.500000000000000222e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.050000000000000044e+00 2.425226797386722857e-18 8.148186707515251328e+02
3.700000000000000000e+01 7.500000000000000000e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 1.500000000000000000e+00 5.001921595449604807e-17 3.807075106182241598e+03
3.800000000000000000e+01 1.820000000000000062e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 9.000000000000000222e-01 5.803472470223115002e-18 1.139361495465136613e+03
3.900000000000000000e+01 4.500000000000000111e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 3.000000000000000444e-01 3.508201641904760453e-18 1.571561427759343815e+03
4.000000000000000000e+01 2.290000000000000036e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 1.325000000000000178e+00 4.549536824082367212e-18 1.507003018280149945e+03
4.100000000000000000e+01 3.099999999999999978e-01 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 2.000000000000000111e-01 1.321542896258308493e-17 2.908550282321805298e+03
4.200000000000000000e+01 5.000000000000000000e+00 8.064000000000000000e+08 1.000000000000000000e+07 1.000000000000000888e-02 1.275000000000000133e+00 5.095883357299940185e-19 1.149706110323718121e+03
4.300000000000000000e+01 5.000000000000000000e+00 8.064000000000000000e+08 5.000000000000000000e+07 6.788688785174088469e-01 7.000000000000000666e-01 4.382260719281502585e-19 1.512261924492587696e+03
