# obj_no phot_z age_old age_new f_old_V  EBV norm chi
1.000000000000000000e+00 4.299999999999999933e-01 8.064000000000000000e+08 1.000000000000000000e+07 6.937722339831620122e-01 1.500000000000000222e-01 5.520895473734831008e-18 1.989613466834114206e+03
2.000000000000000000e+00 1.409999999999999920e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 1.500000000000000000e+00 6.501208451754847277e-18 1.287899843455757036e+03
3.000000000000000000e+00 3.900000000000000133e-01 8.064000000000000000e+08 1.000000000000000000e+07 6.937722339831620122e-01 7.500000000000001110e-02 3.661274618255063794e-18 1.535798691252298113e+03
4.000000000000000000e+00 1.199999999999999956e+00 8.064000000000000000e+08 1.000000000000000000e+07 8.515106807538886935e-01 4.250000000000000444e-01 4.352274689547285944e-19 7.958160801675776383e+02
5.000000000000000000e+00 5.500000000000000444e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 3.250000000000000111e-01 6.098417519393945603e-19 9.241103634702877798e+02
6.000000000000000000e+00 3.500000000000000333e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 0.000000000000000000e+00 4.843815105745480058e-19 9.268976442259255464e+02
7.000000000000000000e+00 5.999999999999999778e-01 8.064000000000000000e+08 1.000000000000000000e+07 6.937722339831620122e-01 2.750000000000000222e-01 7.394901294462114030e-19 6.214536865194346547e+02
8.000000000000000000e+00 4.199999999999999845e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.003521803856815442e-01 0.000000000000000000e+00 3.488915787088056251e-19 9.680697453915512369e+02
9.000000000000000000e+00 1.090000000000000080e+00 8.064000000000000000e+08 2.511900000000000000e+07 9.052871451949100479e-01 1.500000000000000000e+00 3.637407473032836134e-17 7.915581410395351668e+03
1.000000000000000000e+01 8.699999999999999956e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 1.500000000000000000e+00 9.577618318444345215e-18 6.558026975856182617e+03
1.100000000000000000e+01 1.459999999999999964e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.003521803856815442e-01 1.500000000000000000e+00 3.135258269899813585e-17 1.812804918326645520e+03
1.200000000000000000e+01 5.000000000000000000e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.052871451949100479e-01 1.000000000000000056e-01 1.156003081597868477e-19 6.013223311070740920e+02
1.300000000000000000e+01 2.300000000000000266e+00 8.064000000000000000e+08 2.511900000000000000e+07 6.937722339831620122e-01 7.750000000000000222e-01 2.031612903226355416e-18 1.126379282228411057e+03
1.400000000000000000e+01 1.110000000000000098e+00 8.064000000000000000e+08 5.000000000000000000e+07 8.194539282036752414e-01 1.500000000000000000e+00 1.818708733219254376e-17 2.345248821479828166e+03
1.500000000000000000e+01 8.200000000000000622e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 1.025000000000000133e+00 8.243202182374989840e-19 8.878663849011743423e+02
1.600000000000000000e+01 4.600000000000000200e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 1.250000000000000000e-01 1.140411297286647460e-18 1.419298574878182535e+03
1.700000000000000000e+01 1.040000000000000036e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 1.500000000000000000e+00 4.704492102615229718e-17 4.994533490556356810e+03
1.800000000000000000e+01 3.200000000000000067e-01 8.064000000000000000e+08 1.000000000000000000e+07 8.781743261443593074e-01 0.000000000000000000e+00 3.131707214088606807e-18 3.163810928775550565e+03
1.900000000000000000e+01 3.800000000000000044e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 0.000000000000000000e+00 9.969422116809465675e-19 2.066880653878494741e+03
2.000000000000000000e+01 3.050000000000000266e+00 8.064000000000000000e+08 2.511900000000000000e+07 9.052871451949100479e-01 2.750000000000000222e-01 1.204324749704819381e-19 5.235528296506569177e+02
2.100000000000000000e+01 1.060000000000000053e+00 8.064000000000000000e+08 2.511900000000000000e+07 8.897735565382587364e-01 1.500000000000000000e+00 4.420466991428780308e-17 7.237799793338463132e+03
2.200000000000000000e+01 7.500000000000000000e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 1.074999999999999956e+00 1.670155403867676309e-18 1.165773168718217448e+03
2.300000000000000000e+01 5.000000000000000000e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 5.750000000000000666e-01 1.562175063652755737e-18 1.115137780811901621e+03
2.400000000000000000e+01 1.260000000000000009e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.052871451949100479e-01 1.500000000000000000e+00 1.533648138651958602e-17 1.940418556232430319e+03
