# obj_no spec_z phot_z age_old age_new f_old_V EBV norm chi
1.000000000000000000e+00 2.225999999999999979e+00 2.729999999999999982e+00 5.088000000000000000e+08 1.000000000000000000e+07 7.080048279597983552e-01 1.500000000000000222e-01 2.264034297697347085e-17 9.002182558040152571e+01
2.000000000000000000e+00 7.850000000000000311e-01 7.000000000000000666e-01 5.088000000000000000e+08 5.000000000000000000e+07 7.588113568490419958e-01 2.500000000000000000e-01 1.202877362729952378e-16 1.133758631214854695e+01
3.000000000000000000e+00 1.606000000000000094e+00 1.409999999999999920e+00 5.088000000000000000e+08 5.000000000000000000e+07 8.515106807538886935e-01 1.750000000000000167e-01 2.530770888586887689e-17 2.998690669308178514e+01
4.000000000000000000e+00 1.328999999999999959e+00 9.799999999999999822e-01 8.064000000000000000e+08 5.000000000000000000e+07 7.809132347232226046e-01 3.500000000000000333e-01 1.012981426233306776e-16 1.341270104327750445e+01
5.000000000000000000e+00 8.719999999999999973e-01 7.099999999999999645e-01 8.064000000000000000e+08 5.000000000000000000e+07 8.010703869145960887e-01 3.500000000000000333e-01 2.129802406441862733e-16 1.630435948658066891e+01
6.000000000000000000e+00 8.169999999999999485e-01 5.799999999999999600e-01 1.434000000000000000e+09 5.000000000000000000e+07 9.003521803856815442e-01 3.750000000000000000e-01 7.693113736029119740e-17 2.083753029119879585e+01
7.000000000000000000e+00 1.030999999999999917e+00 8.399999999999999689e-01 5.088000000000000000e+08 1.000000000000000000e+07 7.345771296661833816e-01 2.000000000000000111e-01 7.579116226265784290e-17 1.140350850158239737e+01
8.000000000000000000e+00 1.409999999999999920e+00 9.699999999999999734e-01 8.064000000000000000e+08 1.000000000000000000e+07 7.080048279597983552e-01 1.000000000000000056e-01 2.275572221911525750e-17 2.002658649764113719e+01
9.000000000000000000e+00 3.579999999999999849e-01 1.300000000000000044e-01 1.434000000000000000e+09 5.000000000000000000e+07 9.003521803856815442e-01 3.750000000000000000e-01 1.860129181377723300e-16 3.634061160602600893e+01
1.000000000000000000e+01 3.880000000000000115e-01 3.400000000000000244e-01 1.434000000000000000e+09 1.000000000000000000e+07 9.003521803856815442e-01 0.000000000000000000e+00 1.355250156874225694e-17 6.875015317698746742e+00
1.100000000000000000e+01 1.030000000000000027e+00 5.200000000000000178e-01 1.434000000000000000e+09 5.000000000000000000e+07 9.003521803856815442e-01 5.250000000000000222e-01 1.510431177940621668e-16 1.736546332044553083e+02
1.200000000000000000e+01 1.203999999999999959e+00 9.799999999999999822e-01 5.088000000000000000e+08 2.511900000000000000e+07 7.080048279597983552e-01 0.000000000000000000e+00 1.325429053900461545e-17 1.634131475861187965e+01
1.300000000000000000e+01 1.990000000000000102e-01 3.099999999999999978e-01 2.500000000000000000e+09 1.000000000000000000e+07 7.080048279597983552e-01 5.000000000000000278e-02 8.355635657356262660e-17 3.825792560387225905e+01
1.400000000000000000e+01 5.430000000000000382e-01 4.700000000000000289e-01 8.064000000000000000e+08 1.000000000000000000e+07 8.194539282036752414e-01 2.500000000000000139e-02 2.891983708518280719e-17 1.270789019617851778e+01
1.500000000000000000e+01 4.299999999999999933e-01 3.699999999999999956e-01 8.064000000000000000e+08 1.000000000000000000e+07 8.010703869145960887e-01 2.500000000000000139e-02 1.259132768309374203e-16 8.401783652015768489e-01
