# obj_no phot_z age_old age_new f_old_V  EBV norm chi
1.000000000000000000e+00 2.899999999999999800e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.229036410043919281e-01 5.000000000000000278e-02 1.363095113833778429e-18 1.990425348421782473e+03
2.000000000000000000e+00 1.409999999999999920e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.768868878517409371e-01 6.000000000000000888e-01 8.319859731573479143e-19 1.274982324996591387e+03
3.000000000000000000e+00 2.999999999999999889e-02 8.064000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 1.500000000000000222e-01 4.142759936838879991e-19 1.537211595312521467e+03
4.000000000000000000e+00 1.689999999999999947e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.550459126142375466e-01 4.000000000000000222e-01 2.218519247705259404e-19 7.960725193365207133e+02
5.000000000000000000e+00 5.500000000000000444e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.768868878517409371e-01 1.250000000000000000e-01 1.201514477795858983e-19 9.198875781006017860e+02
6.000000000000000000e+00 3.500000000000000333e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.187989160644089992e-01 0.000000000000000000e+00 4.155299518133232284e-19 9.268210319721300721e+02
7.000000000000000000e+00 2.470000000000000195e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.768868878517409371e-01 3.000000000000000444e-01 1.786794234207430129e-19 6.207932532849006293e+02
8.000000000000000000e+00 4.199999999999999845e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.100000000000000311e-01 0.000000000000000000e+00 3.156732684931358107e-19 9.680864113346895010e+02
9.000000000000000000e+00 1.090000000000000080e+00 8.064000000000000000e+08 2.511900000000000000e+07 9.100000000000000311e-01 1.500000000000000000e+00 3.484405264155429188e-17 7.915809073641071336e+03
1.000000000000000000e+01 8.699999999999999956e-01 8.064000000000000000e+08 5.000000000000000000e+07 9.768868878517409371e-01 1.375000000000000000e+00 2.163604615793222136e-18 6.475002421162917017e+03
1.100000000000000000e+01 1.459999999999999964e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.100000000000000311e-01 1.425000000000000044e+00 2.714083307761934990e-17 1.817147381833000736e+03
1.200000000000000000e+01 5.000000000000000000e+00 8.064000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 1.000000000000000056e-01 1.153097044061408342e-19 6.012996053604709914e+02
1.300000000000000000e+01 2.430000000000000160e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.100000000000000311e-01 4.750000000000000333e-01 1.278383066792528991e-18 1.130949386516451341e+03
