# obj_no phot_z age_old age_new f_old_V  EBV norm chi
1.000000000000000000e+00 2.899999999999999800e-01 8.064000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 0.000000000000000000e+00 3.823510250166404985e-19 1.991197709626016831e+03
2.000000000000000000e+00 1.409999999999999920e+00 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 2.500000000000000000e-01 8.405369568696122060e-17 1.269779091268494994e+03
3.000000000000000000e+00 2.999999999999999889e-02 8.064000000000000000e+08 1.000000000000000000e+07 9.926219917125062020e-01 7.500000000000001110e-02 1.359673650710037844e-19 1.537653619861275956e+03
4.000000000000000000e+00 2.649999999999999911e+00 2.500000000000000000e+09 2.511900000000000000e+07 9.955456022925407433e-01 1.250000000000000000e-01 2.583112142045079361e-19 7.931613906252745210e+02
5.000000000000000000e+00 3.910000000000000142e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.768868878517409371e-01 3.750000000000000000e-01 8.600663903900012205e-18 9.111273919024480392e+02
6.000000000000000000e+00 3.500000000000000333e-01 5.088000000000000000e+08 1.000000000000000000e+07 9.768868878517409371e-01 1.000000000000000056e-01 1.794286096322998646e-19 9.251379573205377937e+02
7.000000000000000000e+00 2.479999999999999982e+00 8.064000000000000000e+08 5.000000000000000000e+07 9.848811356849042076e-01 0.000000000000000000e+00 1.012555275449850823e-19 6.202835716001469564e+02
8.000000000000000000e+00 4.199999999999999845e-01 5.088000000000000000e+08 1.000000000000000000e+07 1.000000000000000000e+00 0.000000000000000000e+00 3.532671446975550740e-18 9.608398549264553594e+02
9.000000000000000000e+00 3.649999999999999911e+00 1.434000000000000000e+09 5.000000000000000000e+07 9.941510680753888884e-01 1.000000000000000000e+00 3.017351738063288747e-14 7.346389352897003846e+03
1.000000000000000000e+01 2.459999999999999964e+00 1.700000000000000000e+09 5.000000000000000000e+07 9.990352180385682068e-01 5.250000000000000222e-01 1.529526786256119799e-17 5.975265850145658987e+03
